FBgn0000014 ABD-A
FBgn0000015 ABD-B
FBgn0000018 ABO
FBgn0000022 AC
FBgn0000028 ACJ6
FBgn0000061 AL
FBgn0000097 AOP
FBgn0000137 ASE
FBgn0000139 ASH2
FBgn0000157 DLL
FBgn0000166 BCD
FBgn0000179 BI
FBgn0000227 BSG25A
FBgn0000233 BTD
FBgn0000250 CACT
FBgn0000251 CAD
FBgn0000283 CP190
FBgn0000286 CF2
FBgn0000287 SALR
FBgn0000289 CG
FBgn0000307 CHIF
FBgn0000370 CRC
FBgn0000376 CRM
FBgn0000411 D
FBgn0000412 D1
FBgn0000439 DFD
FBgn0000448 HR3
FBgn0000459 DISCO
FBgn0000492 DR
FBgn0000504 DSX
FBgn0000520 DWG
FBgn0000529 BSH
FBgn0000541 E(BX)
FBgn0000543 ECD
FBgn0000546 ECR
FBgn0000560 EG
FBgn0000567 EIP74EF
FBgn0000568 EIP75B
FBgn0000575 EMC
FBgn0000576 EMS
FBgn0000577 EN
FBgn0000588 ESC
FBgn0000591 E(SPL)M8-HLH
FBgn0000606 EVE
FBgn0000611 EXD
FBgn0000617 E(Y)1
FBgn0000618 E(Y)2
FBgn0000625 EYG
FBgn0000629 E(Z)
FBgn0000659 FKH
FBgn0000927 FS(1)YA
FBgn0000964 TJ
FBgn0001077 FTZ
FBgn0001078 FTZ-F1
FBgn0001133 GRAU
FBgn0001138 GRN
FBgn0001139 GRO
FBgn0001147 GSB-N
FBgn0001148 GSB
FBgn0001150 GT
FBgn0001168 H
FBgn0001170 H2.0
FBgn0001180 HB
FBgn0001185 HER
FBgn0001206 HMR
FBgn0001222 HSF
FBgn0001235 HTH
FBgn0001269 INV
FBgn0001291 JRA
FBgn0001297 KAY
FBgn0001319 KN
FBgn0001320 KNI
FBgn0001323 KNRL
FBgn0001325 KR
FBgn0001978 STC
FBgn0001981 ESG
FBgn0001983 WOR
FBgn0001990 WEK
FBgn0001994 CRP
FBgn0002023 LIM3
FBgn0002283 L(3)73AH
FBgn0002441 L(3)MBT
FBgn0002521 PHO
FBgn0002522 LAB
FBgn0002561 L(1)SC
FBgn0002573 SENS
FBgn0002576 LZ
FBgn0002609 E(SPL)M3-HLH
FBgn0002631 E(SPL)M5-HLH
FBgn0002633 E(SPL)M7-HLH
FBgn0002723 MET
FBgn0002733 E(SPL)MBETA-HLH
FBgn0002734 E(SPL)MDELTA-HLH
FBgn0002735 E(SPL)MGAMMA-HLH
FBgn0002775 MSL-3
FBgn0002780 MOD
FBgn0002783 MOR
FBgn0002842 SA
FBgn0002914 MYB
FBgn0002922 NAU
FBgn0002931 NET
FBgn0002941 SLOU
FBgn0002985 ODD
FBgn0003002 OPA
FBgn0003028 OVO
FBgn0003042 PC
FBgn0003044 PCL
FBgn0003053 PEB
FBgn0003071 PFK
FBgn0003117 PNR
FBgn0003118 PNT
FBgn0003129 POXM
FBgn0003130 POXN
FBgn0003145 PRD
FBgn0003254 RIB
FBgn0003267 RO
FBgn0003270 AMOS
FBgn0003275 RPII18
FBgn0003300 RUN
FBgn0003330 SCE
FBgn0003334 SCM
FBgn0003339 SCR
FBgn0003345 SD
FBgn0003396 SHN
FBgn0003411 SISA
FBgn0003430 SLP1
FBgn0003448 SNA
FBgn0003459 STWL
FBgn0003460 SO
FBgn0003499 SR
FBgn0003507 SRP
FBgn0003511 SRY-BETA
FBgn0003512 SRY-DELTA
FBgn0003513 SS
FBgn0003567 SU(HW)
FBgn0003598 SU(VAR)3-7
FBgn0003607 SU(VAR)205
FBgn0003612 SU(VAR)2-10
FBgn0003651 SVP
FBgn0003683 TERM
FBgn0003687 TBP
FBgn0003720 TLL
FBgn0003862 TRX
FBgn0003866 TSH
FBgn0003870 TTK
FBgn0003896 TUP
FBgn0003900 TWI
FBgn0003944 UBX
FBgn0003963 USH
FBgn0003964 USP
FBgn0004050 Z
FBgn0004053 ZEN
FBgn0004054 ZEN2
FBgn0004101 BS
FBgn0004102 OC
FBgn0004110 TIN
FBgn0004170 SC
FBgn0004198 CT
FBgn0004362 HMGD
FBgn0004394 PDM2
FBgn0004396 CREBA
FBgn0004401 PEP
FBgn0004463 RPIII128
FBgn0004510 ETS97D
FBgn0004567 SLP2
FBgn0004595 PROS
FBgn0004606 ZFH1
FBgn0004607 ZFH2
FBgn0004618 GL
FBgn0004652 FRU
FBgn0004656 FS(1)H
FBgn0004666 SIM
FBgn0004795 RETN
FBgn0004837 SU(H)
FBgn0004854 B-H2
FBgn0004858 ELB
FBgn0004859 CI
FBgn0004861 PH-P
FBgn0004862 BAP
FBgn0004863 C15
FBgn0004865 EIP78C
FBgn0004868 GDI
FBgn0004870 BAB1
FBgn0004878 CAS
FBgn0004880 SCRT
FBgn0004892 SOB
FBgn0004893 BOWL
FBgn0004895 FOXL1
FBgn0004896 FD59A
FBgn0004897 FD96CA
FBgn0004898 FD96CB
FBgn0004914 HNF4
FBgn0005386 ASH1
FBgn0005427 EWG
FBgn0005558 EY
FBgn0005561 SV
FBgn0005585 CALR
FBgn0005596 YEM
FBgn0005612 SOX14
FBgn0005613 SOX15
FBgn0005624 PSC
FBgn0005636 NVY
FBgn0005638 SLBO
FBgn0005642 WDN
FBgn0005658 ETS65A
FBgn0005659 ETS98B
FBgn0005660 ETS21C
FBgn0005677 DAC
FBgn0005694 AEF1
FBgn0005771 NOC
FBgn0008636 HBN
FBgn0008646 E5
FBgn0008651 LBL
FBgn0010109 DPN
FBgn0010228 HMGZ
FBgn0010278 SSRP
FBgn0010280 TAF4
FBgn0010287 TRF
FBgn0010300 BRAT
FBgn0010323 GSC
FBgn0010328 WOC
FBgn0010355 TAF1
FBgn0010356 TAF5
FBgn0010416 TH1
FBgn0010421 TFIIFBETA
FBgn0010422 TFIIS
FBgn0010433 ATO
FBgn0010520 BKA
FBgn0010768 SQZ
FBgn0010825 GUG
FBgn0011236 KEN
FBgn0011274 DIF
FBgn0011276 HLH3B
FBgn0011277 HLH4C
FBgn0011278 LBE
FBgn0011290 TAF12
FBgn0011474 PR-SET7
FBgn0011481 SSDP
FBgn0011604 ISWI
FBgn0011648 MAD
FBgn0011655 MED
FBgn0011656 MEF2
FBgn0011701 REPO
FBgn0011715 SNR1
FBgn0011723 BYN
FBgn0011758 B-H1
FBgn0011763 DP
FBgn0011766 E2F1
FBgn0011774 IRBP
FBgn0011836 TAF2
FBgn0013263 TRL
FBgn0013469 KLU
FBgn0013531 MED20
FBgn0013751 AWH
FBgn0013753 BGB
FBgn0013755 BRO
FBgn0013764 CHI
FBgn0013799 DEAF1
FBgn0014018 REL
FBgn0014143 CROC
FBgn0014179 GCM
FBgn0014343 MIRR
FBgn0014859 HR38
FBgn0014863 MLP84B
FBgn0014931 CG2678
FBgn0014949 BTN
FBgn0015025 CKIIALPHA-I1
FBgn0015239 HR78
FBgn0015240 HR96
FBgn0015299 SSB-C31A
FBgn0015371 CHN
FBgn0015381 DSF
FBgn0015396 JUMU
FBgn0015524 OTP
FBgn0015550 TAP
FBgn0015561 UNPG
FBgn0015602 BEAF-32
FBgn0015618 CDK8
FBgn0015664 DREF
FBgn0015721 KTUB
FBgn0015799 RBF
FBgn0015805 HDAC1
FBgn0015828 TFIIEALPHA
FBgn0015903 APT
FBgn0015904 ARA
FBgn0015919 CAUP
FBgn0015949 HRG
FBgn0016076 VRI
FBgn0016660 H15
FBgn0016694 PDP1
FBgn0016754 SBA
FBgn0016917 STAT92E
FBgn0016970 L(2)K10201
FBgn0017430 NELF-E
FBgn0017550 RGA
FBgn0017578 MAX
FBgn0019637 ATU
FBgn0019650 TOY
FBgn0019809 GCM2
FBgn0020249 STCK
FBgn0020306 DOM
FBgn0020307 DVE
FBgn0020309 CROL
FBgn0020378 SP1
FBgn0020379 RFX
FBgn0020493 DAD
FBgn0020496 CTBP
FBgn0020617 RX
FBgn0020618 RACK1
FBgn0020887 SU(Z)12
FBgn0020912 PTX1
FBgn0021738 CRG-1
FBgn0021767 ORG-1
FBgn0021872 XBP1
FBgn0022238 LOLAL
FBgn0022361 PUR-ALPHA
FBgn0022699 D19B
FBgn0022724 TAF8
FBgn0022740 HLH54F
FBgn0022764 SIN3A
FBgn0022935 D19A
FBgn0022936 CYCH
FBgn0023076 CLK
FBgn0023091 DIMM
FBgn0023094 CYC
FBgn0023097 BON
FBgn0023212 ELOB
FBgn0023215 MNT
FBgn0023489 PPH13
FBgn0023518 TRR
FBgn0024184 UNC-4
FBgn0024244 DRM
FBgn0024249 CATO
FBgn0024250 BRK
FBgn0024251 BBX
FBgn0024288 SOX100B
FBgn0024321 NK7.1
FBgn0024371 E2F2
FBgn0024887 KIN17
FBgn0024956 MAT1
FBgn0024975 CG2712
FBgn0025185 AZ2
FBgn0025334 PHDP
FBgn0025360 OPTIX
FBgn0025463 BAP60
FBgn0025525 BAB2
FBgn0025635 CG17829
FBgn0025679 KLF15
FBgn0025716 BAP55
FBgn0025776 IND
FBgn0025800 SMOX
FBgn0025825 HDAC3
FBgn0025832 FEN1
FBgn0025838 CG2652
FBgn0025874 MEICS
FBgn0026058 ODSH
FBgn0026080 TIP60
FBgn0026160 TNA
FBgn0026373 RPII33
FBgn0026411 LIM1
FBgn0026427 SU(VAR)2-HP2
FBgn0026428 HDAC6
FBgn0026533 DEK
FBgn0026573 ADD1
FBgn0026575 HANG
FBgn0026582 HMG-2
FBgn0026869 THD1
FBgn0026873 MED18
FBgn0027339 JIM
FBgn0027364 SIX4
FBgn0027378 MRG15
FBgn0027453 DNZ1
FBgn0027503 CG11970
FBgn0027514 CG1024
FBgn0027524 CG3909
FBgn0027553 NELF-B
FBgn0027567 CG8108
FBgn0027592 MED15
FBgn0027599 CG2790
FBgn0027620 ACF
FBgn0027788 HEY
FBgn0027866 CG9776
FBgn0027945 PPL
FBgn0027950 MBD-LIKE
FBgn0027951 MTA1-LIKE
FBgn0028387 CHM
FBgn0028398 TAF10
FBgn0028530 MTTF
FBgn0028531 CG15286
FBgn0028550 ATF3
FBgn0028579 PHTF
FBgn0028647 CG11902
FBgn0028683 SPT4
FBgn0028744 CG5033
FBgn0028789 DOC1
FBgn0028878 CG15269
FBgn0028887 CG3491
FBgn0028895 CG17328
FBgn0028926 NC2BETA
FBgn0028931 CG16863
FBgn0028979 TIO
FBgn0028991 SEQ
FBgn0028993 SCRO
FBgn0028996 ONECUT
FBgn0028999 NERFIN-1
FBgn0029123 SOXN
FBgn0029504 CHES-1-LIKE
FBgn0029672 CG2875
FBgn0029711 USF
FBgn0029822 CG12236
FBgn0029824 CG3726
FBgn0029861 CG3815
FBgn0029867 CG3847
FBgn0029895 CG14441
FBgn0029905 NF-YC
FBgn0029920 CR4575
FBgn0029928 CG3032
FBgn0029936 CG4617
FBgn0029939 CG9650
FBgn0029957 CG12155
FBgn0030003 CG2116
FBgn0030005 CG2120
FBgn0030008 CG2129
FBgn0030009 CG15336
FBgn0030010 CG10959
FBgn0030012 CG18262
FBgn0030058 CG11294
FBgn0030065 CG12075
FBgn0030077 CG15365
FBgn0030082 HP1B
FBgn0030093 BAP111
FBgn0030206 CG2889
FBgn0030240 CG2202
