time ne name
1 FBgn0001077 FTZ
2 FBgn0001077 FTZ
3 FBgn0001077 FTZ
4 FBgn0001077 FTZ
4 FBgn0003411 SISA
5 FBgn0001077 FTZ
5 FBgn0003411 SISA
6 FBgn0001077 FTZ
6 FBgn0003411 SISA
7 FBgn0001077 FTZ
7 FBgn0003411 SISA
8 FBgn0001077 FTZ
8 FBgn0003411 SISA
9 FBgn0001077 FTZ
9 FBgn0003411 SISA
9 FBgn0035625 BLIMP-1
10 FBgn0001077 FTZ
10 FBgn0003411 SISA
10 FBgn0035625 BLIMP-1
11 FBgn0001077 FTZ
11 FBgn0010433 ATO
11 FBgn0003411 SISA
11 FBgn0035625 BLIMP-1
12 FBgn0001077 FTZ
12 FBgn0010433 ATO
12 FBgn0003411 SISA
12 FBgn0035625 BLIMP-1
13 FBgn0001077 FTZ
13 FBgn0010433 ATO
13 FBgn0003411 SISA
13 FBgn0035625 BLIMP-1
14 FBgn0001077 FTZ
14 FBgn0010433 ATO
14 FBgn0003411 SISA
14 FBgn0002734 E(SPL)MDELTA-HLH
14 FBgn0039039 LMD
14 FBgn0035625 BLIMP-1
