time ne name
1 FBgn0001078 FTZ-F1
1 FBgn0031435 ELBA2
1 FBgn0037717 CG8301
1 FBgn0033762 ZNT49B
4 FBgn0011274 DIF
4 FBgn0033744 DH44-R2
5 FBgn0003683 TERM
5 FBgn0261703 GCE
5 FBgn0014931 CG2678
7 FBgn0003270 AMOS
7 FBgn0014863 MLP84B
7 FBgn0037698 CG16779
9 FBgn0034729 CG10344
9 FBgn0033252 CG12769
9 FBgn0035625 BLIMP-1
9 FBgn0038063 OCTBETA2R
9 FBgn0000567 EIP74EF
9 FBgn0053178 CG33178
11 FBgn0035144 KAH
11 FBgn0014179 GCM
11 FBgn0042696 NFI
12 FBgn0259246 BRP
13 FBgn0031232 CG11617
14 FBgn0039039 LMD
14 FBgn0016076 VRI
14 FBgn0000591 E(SPL)M8-HLH
14 FBgn0039816 CG11317
