ID name
FBgn0036791 CG7271
FBgn0031718 CG14014
FBgn0000227 BSG25A
FBgn0003683 TERM
FBgn0036810 CG6885
FBgn0037085 NEU2
FBgn0004053 ZEN
FBgn0004054 ZEN2
FBgn0032491 CG16815
FBgn0003270 AMOS
FBgn0000927 FS(1)YA
FBgn0032493 MABI
FBgn0031086 FD19B
FBgn0000022 AC
FBgn0010433 ATO
FBgn0003411 SISA
FBgn0032490 CG16813
FBgn0001077 FTZ
FBgn0038339 CG6118
FBgn0013755 BRO
FBgn0002561 L(1)SC
FBgn0034729 CG10344
FBgn0031894 CG4496
FBgn0260632 DL
FBgn0264489 CG43897
FBgn0031435 ELBA2
FBgn0005638 SLBO
FBgn0023094 CYC
FBgn0004170 SC
FBgn0264562 HR4
FBgn0002734 E(SPL)MDELTA-HLH
FBgn0034985 CG3328
FBgn0039039 LMD
FBgn0011274 DIF
FBgn0086758 CHINMO
FBgn0035144 KAH
FBgn0014863 MLP84B
FBgn0004865 EIP78C
FBgn0002631 E(SPL)M5-HLH
FBgn0005659 ETS98B
FBgn0000448 HR3
FBgn0032741 SIDPN
FBgn0002735 E(SPL)MGAMMA-HLH
FBgn0003145 PRD
FBgn0028999 NERFIN-1
FBgn0259246 BRP
FBgn0030432 CG4404
FBgn0016076 VRI
FBgn0030065 CG12075
FBgn0001078 FTZ-F1
FBgn0000166 BCD
FBgn0261703 GCE
FBgn0033252 CG12769
FBgn0263072 CG43347
FBgn0001150 GT
FBgn0264442 AB
FBgn0263112 MITF
FBgn0002573 SENS
FBgn0038833 CG15696
FBgn0261113 XRP1
FBgn0039286 DAN
FBgn0033667 REB
FBgn0003071 PFK
FBgn0036155 CG6163
FBgn0032707 CG10348
FBgn0037717 CG8301
FBgn0003254 RIB
FBgn0010228 HMGZ
FBgn0015550 TAP
FBgn0039777 JON99FII
FBgn0035625 BLIMP-1
FBgn0004110 TIN
FBgn0262160 CG9932
FBgn0004607 ZFH2
FBgn0086680 VVL
FBgn0038390 RBF2
FBgn0003499 SR
FBgn0011236 KEN
FBgn0265276 L(3)NEO38
FBgn0002023 LIM3
FBgn0032651 OLI
FBgn0085450 SNOO
FBgn0030008 CG2129
FBgn0038063 OCTBETA2R
FBgn0025776 IND
FBgn0037698 CG16779
FBgn0004893 BOWL
FBgn0037275 CG14655
FBgn0025525 BAB2
FBgn0001148 GSB
FBgn0263118 TX
FBgn0024249 CATO
FBgn0014179 GCM
FBgn0002609 E(SPL)M3-HLH
FBgn0030077 CG15365
FBgn0001235 HTH
FBgn0016694 PDP1
FBgn0000137 ASE
FBgn0261283 SREBP
FBgn0000591 E(SPL)M8-HLH
FBgn0004859 CI
FBgn0014931 CG2678
FBgn0039078 CG4374
FBgn0039530 TUSP
FBgn0033744 DH44-R2
FBgn0002633 E(SPL)M7-HLH
FBgn0039816 CG11317
FBgn0263772 CG43689
FBgn0036725 CG18265
FBgn0030477 DMRT11E
FBgn0261565 LMPT
FBgn0032209 HAND
FBgn0038197 FOXO
FBgn0035626 LIN-28
FBgn0261705 CG42741
FBgn0000014 ABD-A
FBgn0011701 REPO
FBgn0015904 ARA
FBgn0024244 DRM
FBgn0028550 ATF3
FBgn0005658 ETS65A
FBgn0004880 SCRT
FBgn0001983 WOR
FBgn0035481 CG12605
FBgn0037620 RANSHI
FBgn0004198 CT
FBgn0027364 SIX4
FBgn0000287 SALR
FBgn0013469 KLU
FBgn0042630 SOX21B
FBgn0036274 CG4328
FBgn0002733 E(SPL)MBETA-HLH
FBgn0033782 SUG
FBgn0038316 CG6276
FBgn0036152 CG6175
FBgn0263746 CR43671
FBgn0004914 HNF4
FBgn0000567 EIP74EF
FBgn0028996 ONECUT
FBgn0027339 JIM
FBgn0000179 BI
FBgn0000015 ABD-B
FBgn0004394 PDM2
FBgn0038402 FER2
FBgn0031232 CG11617
FBgn0003117 PNR
FBgn0262636 DATI
FBgn0003900 TWI
FBgn0050431 CG30431
FBgn0038391 GATAE
FBgn0003339 SCR
FBgn0004858 ELB
FBgn0036411 SOX21A
FBgn0037619 CG8159
FBgn0003651 SVP
FBgn0038550 CG17801
FBgn0001147 GSB-N
FBgn0053178 CG33178
FBgn0003896 TUP
FBgn0033762 ZNT49B
FBgn0004878 CAS
FBgn0015919 CAUP
FBgn0000659 FKH
FBgn0000577 EN
FBgn0260642 ANTP
FBgn0005613 SOX15
FBgn0003944 UBX
FBgn0259211 GRH
FBgn0004396 CREBA
FBgn0026160 TNA
FBgn0000568 EIP75B
FBgn0035954 DOC3
FBgn0035956 DOC2
FBgn0011277 HLH4C
FBgn0035643 CG13287
FBgn0003866 TSH
FBgn0000606 EVE
FBgn0002931 NET
FBgn0040765 LUNA
FBgn0014343 MIRR
FBgn0000588 ESC
FBgn0027788 HEY
FBgn0042696 NFI
FBgn0020307 DVE
FBgn0029824 CG3726
FBgn0037844 CG4570
FBgn0039932 FUSS
FBgn0037672 SAGE
FBgn0051632 SENS-2
FBgn0016660 H15
FBgn0085369 DRGX
FBgn0020912 PTX1
FBgn0000625 EYG
FBgn0262139 TRH
FBgn0004567 SLP2
FBgn0265598 BX
FBgn0005612 SOX14
FBgn0032291 CG17118
FBgn0035687 PRDM13
FBgn0001269 INV
FBgn0001170 H2.0
FBgn0039355 CG4730
FBgn0002922 NAU
FBgn0085424 NUB
