time ne name
0h FBgn0001078 FTZ-F1
1h FBgn0001078 FTZ-F1
2h FBgn0001078 FTZ-F1
3h FBgn0001078 FTZ-F1
4h FBgn0001078 FTZ-F1
5h FBgn0001078 FTZ-F1
6h FBgn0001078 FTZ-F1
8h FBgn0001078 FTZ-F1
8h FBgn0011274 DIF
10h FBgn0001078 FTZ-F1
10h FBgn0011274 DIF
12h FBgn0001078 FTZ-F1
12h FBgn0011274 DIF
14h FBgn0001078 FTZ-F1
14h FBgn0011274 DIF
16h FBgn0001078 FTZ-F1
16h FBgn0011274 DIF
18h FBgn0001078 FTZ-F1
18h FBgn0011274 DIF
18h FBgn0035625 BLIMP-1
20h FBgn0001078 FTZ-F1
20h FBgn0011274 DIF
20h FBgn0033252 CG12769
20h FBgn0035625 BLIMP-1
20h FBgn0037698 CG16779
20h FBgn0033744 DH44-R2
20h FBgn0000567 EIP74EF
