"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 103 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.485 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.688989381047015 200 10 100 1
"tvsfglasso" 1 "FDR" 0.515 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0212239851638162 200 10 100 1
"tvsfglasso" 1 "F1" 0.653198653198653 200 10 100 1
"tvsfglasso" 1 "JI" 0.485 200 10 100 1
"tvsfglasso" 1 "ED" 103 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 101 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.495 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.696199596057783 200 10 100 1
"tvsfglasso" 1 "FDR" 0.505 200 10 100 1
"tvsfglasso" 1 "FPR" 0.020820449391878 200 10 100 1
"tvsfglasso" 1 "F1" 0.662207357859532 200 10 100 1
"tvsfglasso" 1 "JI" 0.495 200 10 100 1
"tvsfglasso" 1 "ED" 101 200 10 100 1
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 102 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4751 200 10 100 1
"tvsfglasso" 1 "Pre" 0.487437185929648 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.690791044174485 200 10 100 1
"tvsfglasso" 1 "FDR" 0.512562814070352 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0210179270554296 200 10 100 1
"tvsfglasso" 1 "F1" 0.655405405405405 200 10 100 1
"tvsfglasso" 1 "JI" 0.487437185929648 200 10 100 1
"tvsfglasso" 1 "ED" 102 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 101 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.495 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.696199596057783 200 10 100 1
"tvsfglasso" 1 "FDR" 0.505 200 10 100 1
"tvsfglasso" 1 "FPR" 0.020820449391878 200 10 100 1
"tvsfglasso" 1 "F1" 0.662207357859532 200 10 100 1
"tvsfglasso" 1 "JI" 0.495 200 10 100 1
"tvsfglasso" 1 "ED" 101 200 10 100 1
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 103 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.485 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.688989381047015 200 10 100 1
"tvsfglasso" 1 "FDR" 0.515 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0212239851638162 200 10 100 1
"tvsfglasso" 1 "F1" 0.653198653198653 200 10 100 1
"tvsfglasso" 1 "JI" 0.485 200 10 100 1
"tvsfglasso" 1 "ED" 103 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 101 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.495 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.696199596057783 200 10 100 1
"tvsfglasso" 1 "FDR" 0.505 200 10 100 1
"tvsfglasso" 1 "FPR" 0.020820449391878 200 10 100 1
"tvsfglasso" 1 "F1" 0.662207357859532 200 10 100 1
"tvsfglasso" 1 "JI" 0.495 200 10 100 1
"tvsfglasso" 1 "ED" 101 200 10 100 1
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 103 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4750 200 10 100 1
"tvsfglasso" 1 "Pre" 0.485 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.688989381047015 200 10 100 1
"tvsfglasso" 1 "FDR" 0.515 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0212239851638162 200 10 100 1
"tvsfglasso" 1 "F1" 0.653198653198653 200 10 100 1
"tvsfglasso" 1 "JI" 0.485 200 10 100 1
"tvsfglasso" 1 "ED" 103 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 100 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4751 200 10 100 1
"tvsfglasso" 1 "Pre" 0.49748743718593 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.698020113435962 200 10 100 1
"tvsfglasso" 1 "FDR" 0.50251256281407 200 10 100 1
"tvsfglasso" 1 "FPR" 0.020614306328592 200 10 100 1
"tvsfglasso" 1 "F1" 0.664429530201342 200 10 100 1
"tvsfglasso" 1 "JI" 0.49748743718593 200 10 100 1
"tvsfglasso" 1 "ED" 100 200 10 100 1
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 102 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4751 200 10 100 1
"tvsfglasso" 1 "Pre" 0.487437185929648 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.690791044174485 200 10 100 1
"tvsfglasso" 1 "FDR" 0.512562814070352 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0210179270554296 200 10 100 1
"tvsfglasso" 1 "F1" 0.655405405405405 200 10 100 1
"tvsfglasso" 1 "JI" 0.487437185929648 200 10 100 1
"tvsfglasso" 1 "ED" 102 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 99 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4752 200 10 100 1
"tvsfglasso" 1 "Pre" 0.5 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.699854212223765 200 10 100 1
