"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 55 200 10 100
"glasso" 1 "FP" 16 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.774647887323944 200 10 100
"glasso" 1 "TPR" 0.948275862068966 200 10 100
"glasso" 1 "MCC" 0.855257405273063 200 10 100
"glasso" 1 "FDR" 0.225352112676056 200 10 100
"glasso" 1 "FPR" 0.00327064595257563 200 10 100
"glasso" 1 "F1" 0.852713178294574 200 10 100
"glasso" 1 "JI" 0.743243243243243 200 10 100
"glasso" 1 "ED" 19 200 10 100
"glasso" 1 "TP" 64 200 10 100
"glasso" 1 "FP" 7 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.901408450704225 200 10 100
"glasso" 1 "TPR" 0.955223880597015 200 10 100
"glasso" 1 "MCC" 0.926913265659271 200 10 100
"glasso" 1 "FDR" 0.0985915492957746 200 10 100
"glasso" 1 "FPR" 0.00143354495187385 200 10 100
"glasso" 1 "F1" 0.927536231884058 200 10 100
"glasso" 1 "JI" 0.864864864864865 200 10 100
"glasso" 1 "ED" 10 200 10 100
"glasso" 1 "TP" 57 200 10 100
"glasso" 1 "FP" 14 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.802816901408451 200 10 100
"glasso" 1 "TPR" 0.934426229508197 200 10 100
"glasso" 1 "MCC" 0.86435554854046 200 10 100
"glasso" 1 "FDR" 0.197183098591549 200 10 100
"glasso" 1 "FPR" 0.00286357128247085 200 10 100
"glasso" 1 "F1" 0.863636363636364 200 10 100
"glasso" 1 "JI" 0.76 200 10 100
"glasso" 1 "ED" 18 200 10 100
"glasso" 1 "TP" 62 200 10 100
"glasso" 1 "FP" 9 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.873239436619718 200 10 100
"glasso" 1 "TPR" 0.953846153846154 200 10 100
"glasso" 1 "MCC" 0.911450424135729 200 10 100
"glasso" 1 "FDR" 0.126760563380282 200 10 100
"glasso" 1 "FPR" 0.00184237461617195 200 10 100
"glasso" 1 "F1" 0.911764705882353 200 10 100
"glasso" 1 "JI" 0.837837837837838 200 10 100
"glasso" 1 "ED" 12 200 10 100
"glasso" 1 "TP" 59 200 10 100
"glasso" 1 "FP" 12 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.830985915492958 200 10 100
"glasso" 1 "TPR" 0.936507936507937 200 10 100
"glasso" 1 "MCC" 0.880578588337955 200 10 100
"glasso" 1 "FDR" 0.169014084507042 200 10 100
"glasso" 1 "FPR" 0.00245549416820135 200 10 100
"glasso" 1 "F1" 0.880597014925373 200 10 100
"glasso" 1 "JI" 0.786666666666667 200 10 100
"glasso" 1 "ED" 16 200 10 100
"glasso" 1 "TP" 58 200 10 100
"glasso" 1 "FP" 13 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.816901408450704 200 10 100
"glasso" 1 "TPR" 0.950819672131147 200 10 100
"glasso" 1 "MCC" 0.879756078976734 200 10 100
"glasso" 1 "FDR" 0.183098591549296 200 10 100
"glasso" 1 "FPR" 0.00265903047658008 200 10 100
"glasso" 1 "F1" 0.878787878787879 200 10 100
"glasso" 1 "JI" 0.783783783783784 200 10 100
"glasso" 1 "ED" 16 200 10 100
"glasso" 1 "TP" 55 200 10 100
"glasso" 1 "FP" 16 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.774647887323944 200 10 100
"glasso" 1 "TPR" 0.932203389830508 200 10 100
"glasso" 1 "MCC" 0.847840606307723 200 10 100
"glasso" 1 "FDR" 0.225352112676056 200 10 100
"glasso" 1 "FPR" 0.00327131465957882 200 10 100
"glasso" 1 "F1" 0.846153846153846 200 10 100
"glasso" 1 "JI" 0.733333333333333 200 10 100
"glasso" 1 "ED" 20 200 10 100
"glasso" 1 "TP" 56 200 10 100
"glasso" 1 "FP" 15 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.788732394366197 200 10 100
"glasso" 1 "TPR" 0.949152542372881 200 10 100
"glasso" 1 "MCC" 0.863496785316319 200 10 100
"glasso" 1 "FDR" 0.211267605633803 200 10 100
"glasso" 1 "FPR" 0.00306685749335514 200 10 100
"glasso" 1 "F1" 0.861538461538462 200 10 100
"glasso" 1 "JI" 0.756756756756757 200 10 100
"glasso" 1 "ED" 18 200 10 100
"glasso" 1 "TP" 50 200 10 100
"glasso" 1 "FP" 21 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.704225352112676 200 10 100
"glasso" 1 "TPR" 0.925925925925926 200 10 100
"glasso" 1 "MCC" 0.80516106589121 200 10 100
"glasso" 1 "FDR" 0.295774647887324 200 10 100
"glasso" 1 "FPR" 0.00428921568627451 200 10 100
"glasso" 1 "F1" 0.8 200 10 100
"glasso" 1 "JI" 0.666666666666667 200 10 100
"glasso" 1 "ED" 25 200 10 100
"glasso" 1 "TP" 58 200 10 100
"glasso" 1 "FP" 13 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.816901408450704 200 10 100
"glasso" 1 "TPR" 0.950819672131147 200 10 100
"glasso" 1 "MCC" 0.879756078976734 200 10 100
"glasso" 1 "FDR" 0.183098591549296 200 10 100
"glasso" 1 "FPR" 0.00265903047658008 200 10 100
"glasso" 1 "F1" 0.878787878787879 200 10 100
"glasso" 1 "JI" 0.783783783783784 200 10 100
"glasso" 1 "ED" 16 200 10 100
"glasso" 1 "TP" 51 200 10 100
"glasso" 1 "FP" 20 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.71830985915493 200 10 100
"glasso" 1 "TPR" 0.927272727272727 200 10 100
"glasso" 1 "MCC" 0.813865716621733 200 10 100
"glasso" 1 "FDR" 0.28169014084507 200 10 100
"glasso" 1 "FPR" 0.00408580183861083 200 10 100
"glasso" 1 "F1" 0.80952380952381 200 10 100
"glasso" 1 "JI" 0.68 200 10 100
"glasso" 1 "ED" 24 200 10 100
"glasso" 1 "TP" 55 200 10 100
"glasso" 1 "FP" 16 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.774647887323944 200 10 100
"glasso" 1 "TPR" 0.948275862068966 200 10 100
"glasso" 1 "MCC" 0.855257405273063 200 10 100
"glasso" 1 "FDR" 0.225352112676056 200 10 100
"glasso" 1 "FPR" 0.00327064595257563 200 10 100
"glasso" 1 "F1" 0.852713178294574 200 10 100
"glasso" 1 "JI" 0.743243243243243 200 10 100
"glasso" 1 "ED" 19 200 10 100
"glasso" 1 "TP" 51 200 10 100
"glasso" 1 "FP" 20 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.71830985915493 200 10 100
"glasso" 1 "TPR" 0.927272727272727 200 10 100
"glasso" 1 "MCC" 0.813865716621733 200 10 100
"glasso" 1 "FDR" 0.28169014084507 200 10 100
"glasso" 1 "FPR" 0.00408580183861083 200 10 100
"glasso" 1 "F1" 0.80952380952381 200 10 100
"glasso" 1 "JI" 0.68 200 10 100
"glasso" 1 "ED" 24 200 10 100
"glasso" 1 "TP" 53 200 10 100
"glasso" 1 "FP" 18 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.746478873239437 200 10 100
"glasso" 1 "TPR" 0.946428571428571 200 10 100
"glasso" 1 "MCC" 0.838548582885346 200 10 100
"glasso" 1 "FDR" 0.253521126760563 200 10 100
"glasso" 1 "FPR" 0.00367797302819779 200 10 100
"glasso" 1 "F1" 0.834645669291339 200 10 100
"glasso" 1 "JI" 0.716216216216216 200 10 100
"glasso" 1 "ED" 21 200 10 100
"glasso" 1 "TP" 57 200 10 100
"glasso" 1 "FP" 14 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.802816901408451 200 10 100
"glasso" 1 "TPR" 0.934426229508197 200 10 100
"glasso" 1 "MCC" 0.86435554854046 200 10 100
"glasso" 1 "FDR" 0.197183098591549 200 10 100
"glasso" 1 "FPR" 0.00286357128247085 200 10 100
"glasso" 1 "F1" 0.863636363636364 200 10 100
"glasso" 1 "JI" 0.76 200 10 100
"glasso" 1 "ED" 18 200 10 100
"glasso" 1 "TP" 53 200 10 100
"glasso" 1 "FP" 18 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.746478873239437 200 10 100
"glasso" 1 "TPR" 0.946428571428571 200 10 100
"glasso" 1 "MCC" 0.838548582885346 200 10 100
"glasso" 1 "FDR" 0.253521126760563 200 10 100
"glasso" 1 "FPR" 0.00367797302819779 200 10 100
"glasso" 1 "F1" 0.834645669291339 200 10 100
"glasso" 1 "JI" 0.716216216216216 200 10 100
"glasso" 1 "ED" 21 200 10 100
"glasso" 1 "TP" 50 200 10 100
"glasso" 1 "FP" 21 200 10 100
"glasso" 1 "FN" 4 200 10 100
"glasso" 1 "TN" 4875 200 10 100
"glasso" 1 "Pre" 0.704225352112676 200 10 100
"glasso" 1 "TPR" 0.925925925925926 200 10 100
"glasso" 1 "MCC" 0.80516106589121 200 10 100
"glasso" 1 "FDR" 0.295774647887324 200 10 100
"glasso" 1 "FPR" 0.00428921568627451 200 10 100
"glasso" 1 "F1" 0.8 200 10 100
"glasso" 1 "JI" 0.666666666666667 200 10 100
"glasso" 1 "ED" 25 200 10 100
"glasso" 1 "TP" 55 200 10 100
"glasso" 1 "FP" 16 200 10 100
"glasso" 1 "FN" 3 200 10 100
"glasso" 1 "TN" 4876 200 10 100
"glasso" 1 "Pre" 0.774647887323944 200 10 100
"glasso" 1 "TPR" 0.948275862068966 200 10 100
"glasso" 1 "MCC" 0.855257405273063 200 10 100
"glasso" 1 "FDR" 0.225352112676056 200 10 100
"glasso" 1 "FPR" 0.00327064595257563 200 10 100
"glasso" 1 "F1" 0.852713178294574 200 10 100
