"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 97 200 50 100
"glasso" 1 "FP" 109 200 50 100
"glasso" 1 "FN" 50 200 50 100
"glasso" 1 "TN" 4744 200 50 100
"glasso" 1 "Pre" 0.470873786407767 200 50 100
"glasso" 1 "TPR" 0.659863945578231 200 50 100
"glasso" 1 "MCC" 0.541745993314102 200 50 100
"glasso" 1 "FDR" 0.529126213592233 200 50 100
"glasso" 1 "FPR" 0.0224603338141356 200 50 100
"glasso" 1 "F1" 0.54957507082153 200 50 100
"glasso" 1 "TP" 98 200 50 100
"glasso" 1 "FP" 108 200 50 100
"glasso" 1 "FN" 51 200 50 100
"glasso" 1 "TN" 4743 200 50 100
"glasso" 1 "Pre" 0.475728155339806 200 50 100
"glasso" 1 "TPR" 0.657718120805369 200 50 100
"glasso" 1 "MCC" 0.543639146754178 200 50 100
"glasso" 1 "FDR" 0.524271844660194 200 50 100
"glasso" 1 "FPR" 0.0222634508348794 200 50 100
"glasso" 1 "F1" 0.552112676056338 200 50 100
"glasso" 1 "TP" 97 200 50 100
"glasso" 1 "FP" 109 200 50 100
"glasso" 1 "FN" 50 200 50 100
"glasso" 1 "TN" 4744 200 50 100
"glasso" 1 "Pre" 0.470873786407767 200 50 100
"glasso" 1 "TPR" 0.659863945578231 200 50 100
"glasso" 1 "MCC" 0.541745993314102 200 50 100
"glasso" 1 "FDR" 0.529126213592233 200 50 100
"glasso" 1 "FPR" 0.0224603338141356 200 50 100
"glasso" 1 "F1" 0.54957507082153 200 50 100
"glasso" 1 "TP" 98 200 50 100
"glasso" 1 "FP" 108 200 50 100
"glasso" 1 "FN" 51 200 50 100
"glasso" 1 "TN" 4743 200 50 100
"glasso" 1 "Pre" 0.475728155339806 200 50 100
"glasso" 1 "TPR" 0.657718120805369 200 50 100
"glasso" 1 "MCC" 0.543639146754178 200 50 100
"glasso" 1 "FDR" 0.524271844660194 200 50 100
"glasso" 1 "FPR" 0.0222634508348794 200 50 100
"glasso" 1 "F1" 0.552112676056338 200 50 100
"glasso" 1 "TP" 97 200 50 100
"glasso" 1 "FP" 109 200 50 100
"glasso" 1 "FN" 50 200 50 100
"glasso" 1 "TN" 4744 200 50 100
"glasso" 1 "Pre" 0.470873786407767 200 50 100
"glasso" 1 "TPR" 0.659863945578231 200 50 100
"glasso" 1 "MCC" 0.541745993314102 200 50 100
"glasso" 1 "FDR" 0.529126213592233 200 50 100
"glasso" 1 "FPR" 0.0224603338141356 200 50 100
"glasso" 1 "F1" 0.54957507082153 200 50 100
"glasso" 1 "TP" 98 200 50 100
"glasso" 1 "FP" 108 200 50 100
"glasso" 1 "FN" 51 200 50 100
"glasso" 1 "TN" 4743 200 50 100
"glasso" 1 "Pre" 0.475728155339806 200 50 100
"glasso" 1 "TPR" 0.657718120805369 200 50 100
"glasso" 1 "MCC" 0.543639146754178 200 50 100
"glasso" 1 "FDR" 0.524271844660194 200 50 100
"glasso" 1 "FPR" 0.0222634508348794 200 50 100
"glasso" 1 "F1" 0.552112676056338 200 50 100
"glasso" 1 "TP" 97 200 50 100
"glasso" 1 "FP" 109 200 50 100
"glasso" 1 "FN" 50 200 50 100
"glasso" 1 "TN" 4744 200 50 100
"glasso" 1 "Pre" 0.470873786407767 200 50 100
"glasso" 1 "TPR" 0.659863945578231 200 50 100
