"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 5 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 110 200 100 100
"glasso" 1 "TN" 4884 200 100 100
"glasso" 1 "Pre" 0.833333333333333 200 100 100
"glasso" 1 "TPR" 0.0434782608695652 200 100 100
"glasso" 1 "MCC" 0.187371641036354 200 100 100
"glasso" 1 "FDR" 0.166666666666667 200 100 100
"glasso" 1 "FPR" 0.000204708290685773 200 100 100
"glasso" 1 "F1" 0.0826446280991736 200 100 100
"glasso" 1 "TP" 5 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 107 200 100 100
"glasso" 1 "TN" 4887 200 100 100
"glasso" 1 "Pre" 0.833333333333333 200 100 100
"glasso" 1 "TPR" 0.0446428571428571 200 100 100
"glasso" 1 "MCC" 0.189946765672631 200 100 100
"glasso" 1 "FDR" 0.166666666666667 200 100 100
"glasso" 1 "FPR" 0.000204582651391162 200 100 100
"glasso" 1 "F1" 0.0847457627118644 200 100 100
"glasso" 1 "TP" 5 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 107 200 100 100
"glasso" 1 "TN" 4887 200 100 100
"glasso" 1 "Pre" 0.833333333333333 200 100 100
"glasso" 1 "TPR" 0.0446428571428571 200 100 100
"glasso" 1 "MCC" 0.189946765672631 200 100 100
"glasso" 1 "FDR" 0.166666666666667 200 100 100
"glasso" 1 "FPR" 0.000204582651391162 200 100 100
"glasso" 1 "F1" 0.0847457627118644 200 100 100
"glasso" 1 "TP" 5 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 104 200 100 100
"glasso" 1 "TN" 4890 200 100 100
"glasso" 1 "Pre" 0.833333333333333 200 100 100
"glasso" 1 "TPR" 0.0458715596330275 200 100 100
"glasso" 1 "MCC" 0.192626326785009 200 100 100
"glasso" 1 "FDR" 0.166666666666667 200 100 100
"glasso" 1 "FPR" 0.000204457166223676 200 100 100
"glasso" 1 "F1" 0.0869565217391304 200 100 100
"glasso" 1 "TP" 5 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 102 200 100 100
"glasso" 1 "TN" 4892 200 100 100
"glasso" 1 "Pre" 0.833333333333333 200 100 100
"glasso" 1 "TPR" 0.0467289719626168 200 100 100
"glasso" 1 "MCC" 0.194474308181107 200 100 100
"glasso" 1 "FDR" 0.166666666666667 200 100 100
