"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 28 200 50 100
"glasso" 1 "FP" 14 200 50 100
"glasso" 1 "FN" 120 200 50 100
"glasso" 1 "TN" 4788 200 50 100
"glasso" 1 "Pre" 0.666666666666667 200 50 100
"glasso" 1 "TPR" 0.189189189189189 200 50 100
"glasso" 1 "MCC" 0.345872984525301 200 50 100
"glasso" 1 "FDR" 0.333333333333333 200 50 100
"glasso" 1 "FPR" 0.00291545189504373 200 50 100
"glasso" 1 "F1" 0.294736842105263 200 50 100
"glasso" 1 "JI" 0.172839506172839 200 50 100
"glasso" 1 "ED" 134 200 50 100
"glasso" 1 "TP" 17 200 50 100
"glasso" 1 "FP" 14 200 50 100
"glasso" 1 "FN" 131 200 50 100
"glasso" 1 "TN" 4788 200 50 100
"glasso" 1 "Pre" 0.548387096774194 200 50 100
"glasso" 1 "TPR" 0.114864864864865 200 50 100
"glasso" 1 "MCC" 0.241682106710348 200 50 100
"glasso" 1 "FDR" 0.451612903225806 200 50 100
"glasso" 1 "FPR" 0.00291545189504373 200 50 100
"glasso" 1 "F1" 0.189944134078212 200 50 100
"glasso" 1 "JI" 0.104938271604938 200 50 100
"glasso" 1 "ED" 145 200 50 100
"glasso" 1 "TP" 21 200 50 100
"glasso" 1 "FP" 17 200 50 100
"glasso" 1 "FN" 127 200 50 100
"glasso" 1 "TN" 4785 200 50 100
"glasso" 1 "Pre" 0.552631578947368 200 50 100
"glasso" 1 "TPR" 0.141891891891892 200 50 100
"glasso" 1 "MCC" 0.269963754267851 200 50 100
"glasso" 1 "FDR" 0.447368421052632 200 50 100
"glasso" 1 "FPR" 0.00354019158683882 200 50 100
"glasso" 1 "F1" 0.225806451612903 200 50 100
"glasso" 1 "JI" 0.127272727272727 200 50 100
"glasso" 1 "ED" 144 200 50 100
"glasso" 1 "TP" 18 200 50 100
"glasso" 1 "FP" 11 200 50 100
"glasso" 1 "FN" 130 200 50 100
"glasso" 1 "TN" 4791 200 50 100
"glasso" 1 "Pre" 0.620689655172414 200 50 100
"glasso" 1 "TPR" 0.121621621621622 200 50 100
"glasso" 1 "MCC" 0.266298796970178 200 50 100
"glasso" 1 "FDR" 0.379310344827586 200 50 100
"glasso" 1 "FPR" 0.00229071220324865 200 50 100
"glasso" 1 "F1" 0.203389830508475 200 50 100
"glasso" 1 "JI" 0.113207547169811 200 50 100
"glasso" 1 "ED" 141 200 50 100
"glasso" 1 "TP" 17 200 50 100
"glasso" 1 "FP" 9 200 50 100
"glasso" 1 "FN" 131 200 50 100
"glasso" 1 "TN" 4793 200 50 100
"glasso" 1 "Pre" 0.653846153846154 200 50 100
"glasso" 1 "TPR" 0.114864864864865 200 50 100
"glasso" 1 "MCC" 0.266218805381064 200 50 100
"glasso" 1 "FDR" 0.346153846153846 200 50 100
"glasso" 1 "FPR" 0.00187421907538526 200 50 100
"glasso" 1 "F1" 0.195402298850575 200 50 100
"glasso" 1 "JI" 0.10828025477707 200 50 100
"glasso" 1 "ED" 140 200 50 100
"glasso" 1 "TP" 10 200 50 100
"glasso" 1 "FP" 2 200 50 100
"glasso" 1 "FN" 138 200 50 100
"glasso" 1 "TN" 4800 200 50 100
"glasso" 1 "Pre" 0.833333333333333 200 50 100
"glasso" 1 "TPR" 0.0675675675675676 200 50 100
"glasso" 1 "MCC" 0.232556635487652 200 50 100
"glasso" 1 "FDR" 0.166666666666667 200 50 100
"glasso" 1 "FPR" 0.00041649312786339 200 50 100
"glasso" 1 "F1" 0.125 200 50 100
"glasso" 1 "JI" 0.0666666666666667 200 50 100
"glasso" 1 "ED" 140 200 50 100
"glasso" 1 "TP" 9 200 50 100
"glasso" 1 "FP" 3 200 50 100
"glasso" 1 "FN" 139 200 50 100
"glasso" 1 "TN" 4799 200 50 100
"glasso" 1 "Pre" 0.75 200 50 100
"glasso" 1 "TPR" 0.0608108108108108 200 50 100
"glasso" 1 "MCC" 0.208435536131691 200 50 100
"glasso" 1 "FDR" 0.25 200 50 100
"glasso" 1 "FPR" 0.000624739691795085 200 50 100
"glasso" 1 "F1" 0.1125 200 50 100
"glasso" 1 "JI" 0.0596026490066225 200 50 100
"glasso" 1 "ED" 142 200 50 100
"glasso" 1 "TP" 17 200 50 100
"glasso" 1 "FP" 5 200 50 100
"glasso" 1 "FN" 131 200 50 100
"glasso" 1 "TN" 4797 200 50 100
"glasso" 1 "Pre" 0.772727272727273 200 50 100
"glasso" 1 "TPR" 0.114864864864865 200 50 100
"glasso" 1 "MCC" 0.291425590508471 200 50 100
"glasso" 1 "FDR" 0.227272727272727 200 50 100
"glasso" 1 "FPR" 0.00104123281965848 200 50 100
"glasso" 1 "F1" 0.2 200 50 100
"glasso" 1 "JI" 0.111111111111111 200 50 100
"glasso" 1 "ED" 136 200 50 100
"glasso" 1 "TP" 13 200 50 100
"glasso" 1 "FP" 13 200 50 100
"glasso" 1 "FN" 135 200 50 100
"glasso" 1 "TN" 4789 200 50 100
"glasso" 1 "Pre" 0.5 200 50 100
"glasso" 1 "TPR" 0.0878378378378378 200 50 100
"glasso" 1 "MCC" 0.200577447176473 200 50 100
"glasso" 1 "FDR" 0.5 200 50 100
"glasso" 1 "FPR" 0.00270720533111204 200 50 100
"glasso" 1 "F1" 0.149425287356322 200 50 100
"glasso" 1 "JI" 0.0807453416149068 200 50 100
"glasso" 1 "ED" 148 200 50 100
"glasso" 1 "TP" 13 200 50 100
"glasso" 1 "FP" 1 200 50 100
"glasso" 1 "FN" 135 200 50 100
"glasso" 1 "TN" 4801 200 50 100
"glasso" 1 "Pre" 0.928571428571429 200 50 100
"glasso" 1 "TPR" 0.0878378378378378 200 50 100
"glasso" 1 "MCC" 0.281022522819322 200 50 100
"glasso" 1 "FDR" 0.0714285714285714 200 50 100
"glasso" 1 "FPR" 0.000208246563931695 200 50 100
"glasso" 1 "F1" 0.160493827160494 200 50 100
"glasso" 1 "JI" 0.087248322147651 200 50 100
"glasso" 1 "ED" 136 200 50 100
"glasso" 1 "TP" 23 200 50 100
"glasso" 1 "FP" 26 200 50 100
"glasso" 1 "FN" 125 200 50 100
"glasso" 1 "TN" 4776 200 50 100
"glasso" 1 "Pre" 0.469387755102041 200 50 100
"glasso" 1 "TPR" 0.155405405405405 200 50 100
"glasso" 1 "MCC" 0.258027936743524 200 50 100
"glasso" 1 "FDR" 0.530612244897959 200 50 100
"glasso" 1 "FPR" 0.00541441066222407 200 50 100
"glasso" 1 "F1" 0.233502538071066 200 50 100
"glasso" 1 "JI" 0.132183908045977 200 50 100
"glasso" 1 "ED" 151 200 50 100
"glasso" 1 "TP" 18 200 50 100
"glasso" 1 "FP" 21 200 50 100
"glasso" 1 "FN" 130 200 50 100
"glasso" 1 "TN" 4781 200 50 100
"glasso" 1 "Pre" 0.461538461538462 200 50 100
"glasso" 1 "TPR" 0.121621621621622 200 50 100
"glasso" 1 "MCC" 0.225856062268602 200 50 100
"glasso" 1 "FDR" 0.538461538461538 200 50 100
"glasso" 1 "FPR" 0.0043731778425656 200 50 100
"glasso" 1 "F1" 0.192513368983957 200 50 100
"glasso" 1 "JI" 0.106508875739645 200 50 100
"glasso" 1 "ED" 151 200 50 100
"glasso" 1 "TP" 23 200 50 100
"glasso" 1 "FP" 12 200 50 100
"glasso" 1 "FN" 125 200 50 100
"glasso" 1 "TN" 4790 200 50 100
"glasso" 1 "Pre" 0.657142857142857 200 50 100
"glasso" 1 "TPR" 0.155405405405405 200 50 100
"glasso" 1 "MCC" 0.310793514988687 200 50 100
"glasso" 1 "FDR" 0.342857142857143 200 50 100
"glasso" 1 "FPR" 0.00249895876718034 200 50 100
"glasso" 1 "F1" 0.251366120218579 200 50 100
"glasso" 1 "JI" 0.14375 200 50 100
"glasso" 1 "ED" 137 200 50 100
