"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 13 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4789 200 10 100 1
"tvglasso" 1 "Pre" 0.919254658385093 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.957479006178863 200 10 100 1
"tvglasso" 1 "FDR" 0.0807453416149068 200 10 100 1
"tvglasso" 1 "FPR" 0.00270720533111204 200 10 100 1
"tvglasso" 1 "F1" 0.957928802588997 200 10 100 1
"tvglasso" 1 "JI" 0.919254658385093 200 10 100 1
"tvglasso" 1 "ED" 13 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
"tvglasso" 1 "Pre" 0.925 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.960566740596591 200 10 100 1
"tvglasso" 1 "FDR" 0.075 200 10 100 1
"tvglasso" 1 "FPR" 0.00249895876718034 200 10 100 1
"tvglasso" 1 "F1" 0.961038961038961 200 10 100 1
"tvglasso" 1 "JI" 0.925 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 148 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4790 200 10 100 1
