"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 27 200 100 100
"glasso" 1 "FP" 2 200 100 100
"glasso" 1 "FN" 81 200 100 100
"glasso" 1 "TN" 4890 200 100 100
"glasso" 1 "Pre" 0.931034482758621 200 100 100
"glasso" 1 "TPR" 0.25 200 100 100
"glasso" 1 "MCC" 0.477819024138208 200 100 100
"glasso" 1 "FDR" 0.0689655172413793 200 100 100
"glasso" 1 "FPR" 0.000408830744071954 200 100 100
"glasso" 1 "F1" 0.394160583941606 200 100 100
"glasso" 1 "TP" 17 200 100 100
"glasso" 1 "FP" 0 200 100 100
"glasso" 1 "FN" 100 200 100 100
"glasso" 1 "TN" 4883 200 100 100
"glasso" 1 "Pre" 1 200 100 100
"glasso" 1 "TPR" 0.145299145299145 200 100 100
"glasso" 1 "MCC" 0.377337048729002 200 100 100
"glasso" 1 "FDR" 0 200 100 100
"glasso" 1 "FPR" 0 200 100 100
"glasso" 1 "F1" 0.253731343283582 200 100 100
"glasso" 1 "TP" 37 200 100 100
"glasso" 1 "FP" 22 200 100 100
"glasso" 1 "FN" 70 200 100 100
"glasso" 1 "TN" 4871 200 100 100
"glasso" 1 "Pre" 0.627118644067797 200 100 100
"glasso" 1 "TPR" 0.345794392523364 200 100 100
"glasso" 1 "MCC" 0.457383009745123 200 100 100
"glasso" 1 "FDR" 0.372881355932203 200 100 100
"glasso" 1 "FPR" 0.00449621908849377 200 100 100
"glasso" 1 "F1" 0.44578313253012 200 100 100
"glasso" 1 "TP" 26 200 100 100
"glasso" 1 "FP" 13 200 100 100
"glasso" 1 "FN" 86 200 100 100
"glasso" 1 "TN" 4875 200 100 100
"glasso" 1 "Pre" 0.666666666666667 200 100 100
"glasso" 1 "TPR" 0.232142857142857 200 100 100
"glasso" 1 "MCC" 0.386019058010285 200 100 100
"glasso" 1 "FDR" 0.333333333333333 200 100 100
"glasso" 1 "FPR" 0.00265957446808511 200 100 100
"glasso" 1 "F1" 0.344370860927152 200 100 100
"glasso" 1 "TP" 33 200 100 100
"glasso" 1 "FP" 10 200 100 100
"glasso" 1 "FN" 73 200 100 100
"glasso" 1 "TN" 4884 200 100 100
"glasso" 1 "Pre" 0.767441860465116 200 100 100
"glasso" 1 "TPR" 0.311320754716981 200 100 100
"glasso" 1 "MCC" 0.482491275424256 200 100 100
"glasso" 1 "FDR" 0.232558139534884 200 100 100
"glasso" 1 "FPR" 0.00204331834899877 200 100 100
"glasso" 1 "F1" 0.442953020134228 200 100 100
"glasso" 1 "TP" 20 200 100 100
"glasso" 1 "FP" 3 200 100 100
"glasso" 1 "FN" 89 200 100 100
"glasso" 1 "TN" 4888 200 100 100
"glasso" 1 "Pre" 0.869565217391304 200 100 100
"glasso" 1 "TPR" 0.18348623853211 200 100 100
"glasso" 1 "MCC" 0.39465137085325 200 100 100
"glasso" 1 "FDR" 0.130434782608696 200 100 100
"glasso" 1 "FPR" 0.000613371498671028 200 100 100
"glasso" 1 "F1" 0.303030303030303 200 100 100
"glasso" 1 "TP" 35 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 71 200 100 100
"glasso" 1 "TN" 4885 200 100 100
"glasso" 1 "Pre" 0.795454545454545 200 100 100
"glasso" 1 "TPR" 0.330188679245283 200 100 100
"glasso" 1 "MCC" 0.506441798326853 200 100 100
"glasso" 1 "FDR" 0.204545454545455 200 100 100
"glasso" 1 "FPR" 0.0018389865140989 200 100 100
"glasso" 1 "F1" 0.466666666666667 200 100 100
"glasso" 1 "TP" 21 200 100 100
"glasso" 1 "FP" 4 200 100 100
"glasso" 1 "FN" 83 200 100 100
"glasso" 1 "TN" 4892 200 100 100
"glasso" 1 "Pre" 0.84 200 100 100
"glasso" 1 "TPR" 0.201923076923077 200 100 100
"glasso" 1 "MCC" 0.406907819336047 200 100 100
"glasso" 1 "FDR" 0.16 200 100 100
"glasso" 1 "FPR" 0.000816993464052288 200 100 100
"glasso" 1 "F1" 0.325581395348837 200 100 100
"glasso" 1 "TP" 33 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 68 200 100 100
"glasso" 1 "TN" 4890 200 100 100
"glasso" 1 "Pre" 0.785714285714286 200 100 100
"glasso" 1 "TPR" 0.326732673267327 200 100 100
"glasso" 1 "MCC" 0.500818405788466 200 100 100
"glasso" 1 "FDR" 0.214285714285714 200 100 100
"glasso" 1 "FPR" 0.00183710961420698 200 100 100
"glasso" 1 "F1" 0.461538461538462 200 100 100
"glasso" 1 "TP" 28 200 100 100
"glasso" 1 "FP" 11 200 100 100
"glasso" 1 "FN" 79 200 100 100
"glasso" 1 "TN" 4882 200 100 100
"glasso" 1 "Pre" 0.717948717948718 200 100 100
"glasso" 1 "TPR" 0.261682242990654 200 100 100
"glasso" 1 "MCC" 0.426765884510054 200 100 100
"glasso" 1 "FDR" 0.282051282051282 200 100 100
"glasso" 1 "FPR" 0.00224810954424688 200 100 100
"glasso" 1 "F1" 0.383561643835616 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 3 200 100 100
"glasso" 1 "FN" 77 200 100 100
"glasso" 1 "TN" 4889 200 100 100
"glasso" 1 "Pre" 0.911764705882353 200 100 100
"glasso" 1 "TPR" 0.287037037037037 200 100 100
"glasso" 1 "MCC" 0.506665547920415 200 100 100
"glasso" 1 "FDR" 0.0882352941176471 200 100 100
"glasso" 1 "FPR" 0.000613246116107931 200 100 100
"glasso" 1 "F1" 0.436619718309859 200 100 100
"glasso" 1 "TP" 30 200 100 100
"glasso" 1 "FP" 12 200 100 100
"glasso" 1 "FN" 78 200 100 100
"glasso" 1 "TN" 4880 200 100 100
"glasso" 1 "Pre" 0.714285714285714 200 100 100
"glasso" 1 "TPR" 0.277777777777778 200 100 100
"glasso" 1 "MCC" 0.438553435385708 200 100 100
"glasso" 1 "FDR" 0.285714285714286 200 100 100
"glasso" 1 "FPR" 0.00245298446443173 200 100 100
"glasso" 1 "F1" 0.4 200 100 100
"glasso" 1 "TP" 22 200 100 100
"glasso" 1 "FP" 8 200 100 100
"glasso" 1 "FN" 81 200 100 100
"glasso" 1 "TN" 4889 200 100 100
"glasso" 1 "Pre" 0.733333333333333 200 100 100
"glasso" 1 "TPR" 0.213592233009709 200 100 100
"glasso" 1 "MCC" 0.389848478376192 200 100 100
"glasso" 1 "FDR" 0.266666666666667 200 100 100
"glasso" 1 "FPR" 0.00163365325709618 200 100 100
"glasso" 1 "F1" 0.330827067669173 200 100 100
"glasso" 1 "TP" 19 200 100 100
"glasso" 1 "FP" 4 200 100 100
"glasso" 1 "FN" 87 200 100 100
"glasso" 1 "TN" 4890 200 100 100
