"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 27 200 100 100
"glasso" 1 "FP" 2 200 100 100
"glasso" 1 "FN" 31 200 100 100
"glasso" 1 "TN" 4890 200 100 100
"glasso" 1 "Pre" 0.931034482758621 200 100 100
"glasso" 1 "TPR" 0.46551724137931 200 100 100
"glasso" 1 "MCC" 0.655821624315641 200 100 100
"glasso" 1 "FDR" 0.0689655172413793 200 100 100
"glasso" 1 "FPR" 0.000408830744071954 200 100 100
"glasso" 1 "F1" 0.620689655172414 200 100 100
"glasso" 1 "JI" 0.45 200 100 100
"glasso" 1 "ED" 33 200 100 100
"glasso" 1 "TP" 17 200 100 100
"glasso" 1 "FP" 0 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4883 200 100 100
"glasso" 1 "Pre" 1 200 100 100
"glasso" 1 "TPR" 0.253731343283582 200 100 100
"glasso" 1 "MCC" 0.501158226573991 200 100 100
"glasso" 1 "FDR" 0 200 100 100
"glasso" 1 "FPR" 0 200 100 100
"glasso" 1 "F1" 0.404761904761905 200 100 100
"glasso" 1 "JI" 0.253731343283582 200 100 100
"glasso" 1 "ED" 50 200 100 100
"glasso" 1 "TP" 37 200 100 100
"glasso" 1 "FP" 22 200 100 100
"glasso" 1 "FN" 20 200 100 100
"glasso" 1 "TN" 4871 200 100 100
"glasso" 1 "Pre" 0.627118644067797 200 100 100
"glasso" 1 "TPR" 0.649122807017544 200 100 100
"glasso" 1 "MCC" 0.633736050137049 200 100 100
"glasso" 1 "FDR" 0.372881355932203 200 100 100
"glasso" 1 "FPR" 0.00449621908849377 200 100 100
"glasso" 1 "F1" 0.637931034482759 200 100 100
"glasso" 1 "JI" 0.468354430379747 200 100 100
"glasso" 1 "ED" 42 200 100 100
"glasso" 1 "TP" 26 200 100 100
"glasso" 1 "FP" 13 200 100 100
"glasso" 1 "FN" 36 200 100 100
"glasso" 1 "TN" 4875 200 100 100
"glasso" 1 "Pre" 0.666666666666667 200 100 100
"glasso" 1 "TPR" 0.419354838709677 200 100 100
"glasso" 1 "MCC" 0.524158626226667 200 100 100
"glasso" 1 "FDR" 0.333333333333333 200 100 100
"glasso" 1 "FPR" 0.00265957446808511 200 100 100
"glasso" 1 "F1" 0.514851485148515 200 100 100
"glasso" 1 "JI" 0.346666666666667 200 100 100
"glasso" 1 "ED" 49 200 100 100
"glasso" 1 "TP" 33 200 100 100
"glasso" 1 "FP" 10 200 100 100
"glasso" 1 "FN" 23 200 100 100
"glasso" 1 "TN" 4884 200 100 100
"glasso" 1 "Pre" 0.767441860465116 200 100 100
"glasso" 1 "TPR" 0.589285714285714 200 100 100
"glasso" 1 "MCC" 0.669269665487686 200 100 100
"glasso" 1 "FDR" 0.232558139534884 200 100 100
"glasso" 1 "FPR" 0.00204331834899877 200 100 100
"glasso" 1 "F1" 0.666666666666667 200 100 100
"glasso" 1 "JI" 0.5 200 100 100
"glasso" 1 "ED" 33 200 100 100
"glasso" 1 "TP" 20 200 100 100
"glasso" 1 "FP" 3 200 100 100
"glasso" 1 "FN" 39 200 100 100
"glasso" 1 "TN" 4888 200 100 100
"glasso" 1 "Pre" 0.869565217391304 200 100 100
"glasso" 1 "TPR" 0.338983050847458 200 100 100
"glasso" 1 "MCC" 0.539959364969597 200 100 100
"glasso" 1 "FDR" 0.130434782608696 200 100 100
"glasso" 1 "FPR" 0.000613371498671028 200 100 100
"glasso" 1 "F1" 0.48780487804878 200 100 100
"glasso" 1 "JI" 0.32258064516129 200 100 100
"glasso" 1 "ED" 42 200 100 100
"glasso" 1 "TP" 35 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 21 200 100 100
"glasso" 1 "TN" 4885 200 100 100
"glasso" 1 "Pre" 0.795454545454545 200 100 100
"glasso" 1 "TPR" 0.625 200 100 100
"glasso" 1 "MCC" 0.702160121982785 200 100 100
"glasso" 1 "FDR" 0.204545454545455 200 100 100
"glasso" 1 "FPR" 0.0018389865140989 200 100 100
"glasso" 1 "F1" 0.7 200 100 100
"glasso" 1 "JI" 0.538461538461538 200 100 100
"glasso" 1 "ED" 30 200 100 100
"glasso" 1 "TP" 21 200 100 100
"glasso" 1 "FP" 4 200 100 100
"glasso" 1 "FN" 33 200 100 100
"glasso" 1 "TN" 4892 200 100 100
"glasso" 1 "Pre" 0.84 200 100 100
"glasso" 1 "TPR" 0.388888888888889 200 100 100
"glasso" 1 "MCC" 0.568665203319762 200 100 100
"glasso" 1 "FDR" 0.16 200 100 100
"glasso" 1 "FPR" 0.000816993464052288 200 100 100
"glasso" 1 "F1" 0.531645569620253 200 100 100
"glasso" 1 "JI" 0.362068965517241 200 100 100
"glasso" 1 "ED" 37 200 100 100
"glasso" 1 "TP" 33 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 18 200 100 100
"glasso" 1 "TN" 4890 200 100 100
"glasso" 1 "Pre" 0.785714285714286 200 100 100
"glasso" 1 "TPR" 0.647058823529412 200 100 100
"glasso" 1 "MCC" 0.710347505994174 200 100 100
"glasso" 1 "FDR" 0.214285714285714 200 100 100
"glasso" 1 "FPR" 0.00183710961420698 200 100 100
"glasso" 1 "F1" 0.709677419354839 200 100 100
"glasso" 1 "JI" 0.55 200 100 100
"glasso" 1 "ED" 27 200 100 100
"glasso" 1 "TP" 28 200 100 100
"glasso" 1 "FP" 11 200 100 100
"glasso" 1 "FN" 29 200 100 100
"glasso" 1 "TN" 4882 200 100 100
"glasso" 1 "Pre" 0.717948717948718 200 100 100
"glasso" 1 "TPR" 0.491228070175439 200 100 100
"glasso" 1 "MCC" 0.590063602423945 200 100 100
"glasso" 1 "FDR" 0.282051282051282 200 100 100
"glasso" 1 "FPR" 0.00224810954424688 200 100 100
"glasso" 1 "F1" 0.583333333333333 200 100 100
"glasso" 1 "JI" 0.411764705882353 200 100 100
"glasso" 1 "ED" 40 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 3 200 100 100
"glasso" 1 "FN" 27 200 100 100
"glasso" 1 "TN" 4889 200 100 100
"glasso" 1 "Pre" 0.911764705882353 200 100 100
"glasso" 1 "TPR" 0.53448275862069 200 100 100
"glasso" 1 "MCC" 0.695579775056035 200 100 100
"glasso" 1 "FDR" 0.0882352941176471 200 100 100
"glasso" 1 "FPR" 0.000613246116107931 200 100 100
"glasso" 1 "F1" 0.673913043478261 200 100 100
"glasso" 1 "JI" 0.508196721311475 200 100 100
"glasso" 1 "ED" 30 200 100 100
"glasso" 1 "TP" 30 200 100 100
"glasso" 1 "FP" 12 200 100 100
"glasso" 1 "FN" 28 200 100 100
"glasso" 1 "TN" 4880 200 100 100
