"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 55 200 10 100 1
"tvglasso" 1 "FP" 13 200 10 100 1
"tvglasso" 1 "FN" 3 200 10 100 1
"tvglasso" 1 "TN" 4879 200 10 100 1
"tvglasso" 1 "Pre" 0.808823529411765 200 10 100 1
"tvglasso" 1 "TPR" 0.948275862068966 200 10 100 1
"tvglasso" 1 "MCC" 0.874218152078832 200 10 100 1
"tvglasso" 1 "FDR" 0.191176470588235 200 10 100 1
"tvglasso" 1 "FPR" 0.0026573998364677 200 10 100 1
"tvglasso" 1 "F1" 0.873015873015873 200 10 100 1
"tvglasso" 1 "JI" 0.774647887323944 200 10 100 1
"tvglasso" 1 "ED" 16 200 10 100 1
"tvglasso" 1 "TP" 63 200 10 100 1
"tvglasso" 1 "FP" 5 200 10 100 1
"tvglasso" 1 "FN" 4 200 10 100 1
"tvglasso" 1 "TN" 4878 200 10 100 1
"tvglasso" 1 "Pre" 0.926470588235294 200 10 100 1
"tvglasso" 1 "TPR" 0.940298507462687 200 10 100 1
"tvglasso" 1 "MCC" 0.932438019444267 200 10 100 1
"tvglasso" 1 "FDR" 0.0735294117647059 200 10 100 1
"tvglasso" 1 "FPR" 0.00102396067990989 200 10 100 1
"tvglasso" 1 "F1" 0.933333333333333 200 10 100 1
"tvglasso" 1 "JI" 0.875 200 10 100 1
"tvglasso" 1 "ED" 9 200 10 100 1
"tvglasso" 1 "TP" 57 200 10 100 1
"tvglasso" 1 "FP" 11 200 10 100 1
"tvglasso" 1 "FN" 4 200 10 100 1
"tvglasso" 1 "TN" 4878 200 10 100 1
"tvglasso" 1 "Pre" 0.838235294117647 200 10 100 1
"tvglasso" 1 "TPR" 0.934426229508197 200 10 100 1
"tvglasso" 1 "MCC" 0.883526622618053 200 10 100 1
"tvglasso" 1 "FDR" 0.161764705882353 200 10 100 1
"tvglasso" 1 "FPR" 0.00224994886479853 200 10 100 1
"tvglasso" 1 "F1" 0.883720930232558 200 10 100 1
"tvglasso" 1 "JI" 0.791666666666667 200 10 100 1
"tvglasso" 1 "ED" 15 200 10 100 1
"tvglasso" 1 "TP" 61 200 10 100 1
"tvglasso" 1 "FP" 6 200 10 100 1
"tvglasso" 1 "FN" 4 200 10 100 1
"tvglasso" 1 "TN" 4879 200 10 100 1
"tvglasso" 1 "Pre" 0.91044776119403 200 10 100 1
"tvglasso" 1 "TPR" 0.938461538461538 200 10 100 1
"tvglasso" 1 "MCC" 0.923327784376089 200 10 100 1
"tvglasso" 1 "FDR" 0.0895522388059701 200 10 100 1
"tvglasso" 1 "FPR" 0.00122824974411464 200 10 100 1
"tvglasso" 1 "F1" 0.924242424242424 200 10 100 1
"tvglasso" 1 "JI" 0.859154929577465 200 10 100 1
"tvglasso" 1 "ED" 10 200 10 100 1
"tvglasso" 1 "TP" 58 200 10 100 1
"tvglasso" 1 "FP" 9 200 10 100 1
"tvglasso" 1 "FN" 5 200 10 100 1
"tvglasso" 1 "TN" 4878 200 10 100 1
"tvglasso" 1 "Pre" 0.865671641791045 200 10 100 1
"tvglasso" 1 "TPR" 0.920634920634921 200 10 100 1
"tvglasso" 1 "MCC" 0.891309427905388 200 10 100 1
"tvglasso" 1 "FDR" 0.134328358208955 200 10 100 1
"tvglasso" 1 "FPR" 0.00184162062615101 200 10 100 1
"tvglasso" 1 "F1" 0.892307692307692 200 10 100 1
"tvglasso" 1 "JI" 0.805555555555556 200 10 100 1
"tvglasso" 1 "ED" 14 200 10 100 1
"tvglasso" 1 "TP" 58 200 10 100 1
"tvglasso" 1 "FP" 9 200 10 100 1
"tvglasso" 1 "FN" 3 200 10 100 1
"tvglasso" 1 "TN" 4880 200 10 100 1
"tvglasso" 1 "Pre" 0.865671641791045 200 10 100 1
"tvglasso" 1 "TPR" 0.950819672131147 200 10 100 1
"tvglasso" 1 "MCC" 0.90604691371606 200 10 100 1
"tvglasso" 1 "FDR" 0.134328358208955 200 10 100 1
"tvglasso" 1 "FPR" 0.00184086725301698 200 10 100 1
"tvglasso" 1 "F1" 0.90625 200 10 100 1
"tvglasso" 1 "JI" 0.828571428571429 200 10 100 1
"tvglasso" 1 "ED" 12 200 10 100 1
"tvglasso" 1 "TP" 55 200 10 100 1
"tvglasso" 1 "FP" 12 200 10 100 1
"tvglasso" 1 "FN" 4 200 10 100 1
"tvglasso" 1 "TN" 4879 200 10 100 1
"tvglasso" 1 "Pre" 0.82089552238806 200 10 100 1
"tvglasso" 1 "TPR" 0.932203389830508 200 10 100 1
"tvglasso" 1 "MCC" 0.87319294037722 200 10 100 1
"tvglasso" 1 "FDR" 0.17910447761194 200 10 100 1
"tvglasso" 1 "FPR" 0.00245348599468411 200 10 100 1
"tvglasso" 1 "F1" 0.873015873015873 200 10 100 1
"tvglasso" 1 "JI" 0.774647887323944 200 10 100 1
"tvglasso" 1 "ED" 16 200 10 100 1
"tvglasso" 1 "TP" 57 200 10 100 1
"tvglasso" 1 "FP" 9 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4882 200 10 100 1
"tvglasso" 1 "Pre" 0.863636363636364 200 10 100 1
"tvglasso" 1 "TPR" 0.966101694915254 200 10 100 1
