"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 57 200 50 100 2.5
"tvglasso" 1 "FP" 20 200 50 100 2.5
"tvglasso" 1 "FN" 1 200 50 100 2.5
"tvglasso" 1 "TN" 4872 200 50 100 2.5
"tvglasso" 1 "Pre" 0.74025974025974 200 50 100 2.5
"tvglasso" 1 "TPR" 0.982758620689655 200 50 100 2.5
"tvglasso" 1 "MCC" 0.851040185071684 200 50 100 2.5
"tvglasso" 1 "FDR" 0.25974025974026 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00408830744071954 200 50 100 2.5
"tvglasso" 1 "F1" 0.844444444444444 200 50 100 2.5
"tvglasso" 1 "JI" 0.730769230769231 200 50 100 2.5
"tvglasso" 1 "ED" 21 200 50 100 2.5
"tvglasso" 1 "TP" 64 200 50 100 2.5
"tvglasso" 1 "FP" 13 200 50 100 2.5
"tvglasso" 1 "FN" 1 200 50 100 2.5
"tvglasso" 1 "TN" 4872 200 50 100 2.5
"tvglasso" 1 "Pre" 0.831168831168831 200 50 100 2.5
"tvglasso" 1 "TPR" 0.984615384615385 200 50 100 2.5
"tvglasso" 1 "MCC" 0.903309579410226 200 50 100 2.5
"tvglasso" 1 "FDR" 0.168831168831169 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00266120777891505 200 50 100 2.5
"tvglasso" 1 "F1" 0.901408450704225 200 50 100 2.5
"tvglasso" 1 "JI" 0.82051282051282 200 50 100 2.5
"tvglasso" 1 "ED" 14 200 50 100 2.5
"tvglasso" 1 "TP" 51 200 50 100 2.5
"tvglasso" 1 "FP" 26 200 50 100 2.5
"tvglasso" 1 "FN" 1 200 50 100 2.5
"tvglasso" 1 "TN" 4872 200 50 100 2.5
"tvglasso" 1 "Pre" 0.662337662337662 200 50 100 2.5
"tvglasso" 1 "TPR" 0.980769230769231 200 50 100 2.5
"tvglasso" 1 "MCC" 0.803669299608108 200 50 100 2.5
"tvglasso" 1 "FDR" 0.337662337662338 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00530828909759085 200 50 100 2.5
"tvglasso" 1 "F1" 0.790697674418605 200 50 100 2.5
"tvglasso" 1 "JI" 0.653846153846154 200 50 100 2.5
"tvglasso" 1 "ED" 27 200 50 100 2.5
"tvglasso" 1 "TP" 61 200 50 100 2.5
"tvglasso" 1 "FP" 16 200 50 100 2.5
"tvglasso" 1 "FN" 1 200 50 100 2.5
"tvglasso" 1 "TN" 4872 200 50 100 2.5
"tvglasso" 1 "Pre" 0.792207792207792 200 50 100 2.5
"tvglasso" 1 "TPR" 0.983870967741935 200 50 100 2.5
"tvglasso" 1 "MCC" 0.881269462112299 200 50 100 2.5
"tvglasso" 1 "FDR" 0.207792207792208 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00327332242225859 200 50 100 2.5
"tvglasso" 1 "F1" 0.877697841726619 200 50 100 2.5
"tvglasso" 1 "JI" 0.782051282051282 200 50 100 2.5
"tvglasso" 1 "ED" 17 200 50 100 2.5
"tvglasso" 1 "TP" 55 200 50 100 2.5
"tvglasso" 1 "FP" 22 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4873 200 50 100 2.5
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.843252892916781 200 50 100 2.5
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00449438202247191 200 50 100 2.5
"tvglasso" 1 "F1" 0.833333333333333 200 50 100 2.5
"tvglasso" 1 "JI" 0.714285714285714 200 50 100 2.5
"tvglasso" 1 "ED" 22 200 50 100 2.5
"tvglasso" 1 "TP" 59 200 50 100 2.5
"tvglasso" 1 "FP" 18 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4873 200 50 100 2.5
"tvglasso" 1 "Pre" 0.766233766233766 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.873735572420285 200 50 100 2.5
"tvglasso" 1 "FDR" 0.233766233766234 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00368022899202617 200 50 100 2.5
"tvglasso" 1 "F1" 0.867647058823529 200 50 100 2.5
"tvglasso" 1 "JI" 0.766233766233766 200 50 100 2.5
"tvglasso" 1 "ED" 18 200 50 100 2.5
"tvglasso" 1 "TP" 55 200 50 100 2.5
"tvglasso" 1 "FP" 22 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4873 200 50 100 2.5
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.843252892916781 200 50 100 2.5
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00449438202247191 200 50 100 2.5
"tvglasso" 1 "F1" 0.833333333333333 200 50 100 2.5
"tvglasso" 1 "JI" 0.714285714285714 200 50 100 2.5
"tvglasso" 1 "ED" 22 200 50 100 2.5
"tvglasso" 1 "TP" 60 200 50 100 2.5
"tvglasso" 1 "FP" 17 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4873 200 50 100 2.5
"tvglasso" 1 "Pre" 0.779220779220779 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.881199087452181 200 50 100 2.5
"tvglasso" 1 "FDR" 0.220779220779221 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00347648261758691 200 50 100 2.5
"tvglasso" 1 "F1" 0.875912408759124 200 50 100 2.5
"tvglasso" 1 "JI" 0.779220779220779 200 50 100 2.5
"tvglasso" 1 "ED" 17 200 50 100 2.5
"tvglasso" 1 "TP" 54 200 50 100 2.5
"tvglasso" 1 "FP" 23 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4873 200 50 100 2.5
"tvglasso" 1 "Pre" 0.701298701298701 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.835466457543732 200 50 100 2.5
