"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 17 200 100 100
"glasso" 1 "FP" 3 200 100 100
"glasso" 1 "FN" 129 200 100 100
"glasso" 1 "TN" 4851 200 100 100
"glasso" 1 "Pre" 0.85 200 100 100
"glasso" 1 "TPR" 0.116438356164384 200 100 100
"glasso" 1 "MCC" 0.308945137812807 200 100 100
"glasso" 1 "FDR" 0.15 200 100 100
"glasso" 1 "FPR" 0.000618046971569839 200 100 100
"glasso" 1 "F1" 0.204819277108434 200 100 100
"glasso" 1 "TP" 6 200 100 100
"glasso" 1 "FP" 0 200 100 100
"glasso" 1 "FN" 142 200 100 100
"glasso" 1 "TN" 4852 200 100 100
"glasso" 1 "Pre" 1 200 100 100
"glasso" 1 "TPR" 0.0405405405405405 200 100 100
"glasso" 1 "MCC" 0.198463613560848 200 100 100
"glasso" 1 "FDR" 0 200 100 100
"glasso" 1 "FPR" 0 200 100 100
"glasso" 1 "F1" 0.0779220779220779 200 100 100
"glasso" 1 "TP" 17 200 100 100
"glasso" 1 "FP" 4 200 100 100
"glasso" 1 "FN" 129 200 100 100
"glasso" 1 "TN" 4850 200 100 100
"glasso" 1 "Pre" 0.80952380952381 200 100 100
"glasso" 1 "TPR" 0.116438356164384 200 100 100
"glasso" 1 "MCC" 0.300993511160818 200 100 100
"glasso" 1 "FDR" 0.19047619047619 200 100 100
"glasso" 1 "FPR" 0.000824062628759786 200 100 100
"glasso" 1 "F1" 0.203592814371257 200 100 100
"glasso" 1 "TP" 20 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 128 200 100 100
"glasso" 1 "TN" 4851 200 100 100
"glasso" 1 "Pre" 0.952380952380952 200 100 100
"glasso" 1 "TPR" 0.135135135135135 200 100 100
"glasso" 1 "MCC" 0.353603012420671 200 100 100
"glasso" 1 "FDR" 0.0476190476190476 200 100 100
"glasso" 1 "FPR" 0.000206100577081616 200 100 100
"glasso" 1 "F1" 0.236686390532544 200 100 100
"glasso" 1 "TP" 27 200 100 100
"glasso" 1 "FP" 7 200 100 100
"glasso" 1 "FN" 119 200 100 100
"glasso" 1 "TN" 4847 200 100 100
"glasso" 1 "Pre" 0.794117647058823 200 100 100
"glasso" 1 "TPR" 0.184931506849315 200 100 100
"glasso" 1 "MCC" 0.375919168851769 200 100 100
"glasso" 1 "FDR" 0.205882352941176 200 100 100
"glasso" 1 "FPR" 0.00144210960032962 200 100 100
"glasso" 1 "F1" 0.3 200 100 100
"glasso" 1 "TP" 23 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 125 200 100 100
"glasso" 1 "TN" 4843 200 100 100
"glasso" 1 "Pre" 0.71875 200 100 100
"glasso" 1 "TPR" 0.155405405405405 200 100 100
"glasso" 1 "MCC" 0.326344807210579 200 100 100
"glasso" 1 "FDR" 0.28125 200 100 100
"glasso" 1 "FPR" 0.00185490519373454 200 100 100
"glasso" 1 "F1" 0.255555555555556 200 100 100
"glasso" 1 "TP" 26 200 100 100
"glasso" 1 "FP" 9 200 100 100
"glasso" 1 "FN" 119 200 100 100
"glasso" 1 "TN" 4846 200 100 100
