"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 23 200 10 100
"glasso" 1 "FP" 1243 200 10 100
"glasso" 1 "FN" 73 200 10 100
"glasso" 1 "TN" 3611 200 10 100
"glasso" 1 "Pre" 0.0181674565560821 200 10 100
"glasso" 1 "TPR" 0.239583333333333 200 10 100
"glasso" 1 "MCC" -0.00521360607465065 200 10 100
"glasso" 1 "FDR" 0.981832543443918 200 10 100
"glasso" 1 "FPR" 0.256077461887103 200 10 100
"glasso" 1 "F1" 0.0337738619676946 200 10 100
"glasso" 1 "JI" 0.017176997759522 200 10 100
"glasso" 1 "ED" 1316 200 10 100
"glasso" 1 "TP" 39 200 10 100
"glasso" 1 "FP" 1182 200 10 100
"glasso" 1 "FN" 59 200 10 100
"glasso" 1 "TN" 3670 200 10 100
"glasso" 1 "Pre" 0.0319410319410319 200 10 100
"glasso" 1 "TPR" 0.397959183673469 200 10 100
"glasso" 1 "MCC" 0.0498794051094898 200 10 100
"glasso" 1 "FDR" 0.968058968058968 200 10 100
"glasso" 1 "FPR" 0.24361088211047 200 10 100
"glasso" 1 "F1" 0.0591357088703563 200 10 100
"glasso" 1 "JI" 0.03046875 200 10 100
"glasso" 1 "ED" 1241 200 10 100
"glasso" 1 "TP" 30 200 10 100
"glasso" 1 "FP" 1192 200 10 100
"glasso" 1 "FN" 64 200 10 100
"glasso" 1 "TN" 3664 200 10 100
"glasso" 1 "Pre" 0.0245499181669394 200 10 100
"glasso" 1 "TPR" 0.319148936170213 200 10 100
"glasso" 1 "MCC" 0.0233225414565422 200 10 100
"glasso" 1 "FDR" 0.975450081833061 200 10 100
"glasso" 1 "FPR" 0.245469522240527 200 10 100
"glasso" 1 "F1" 0.0455927051671733 200 10 100
"glasso" 1 "JI" 0.0233281493001555 200 10 100
"glasso" 1 "ED" 1256 200 10 100
"glasso" 1 "TP" 44 200 10 100
"glasso" 1 "FP" 1192 200 10 100
"glasso" 1 "FN" 53 200 10 100
"glasso" 1 "TN" 3661 200 10 100
"glasso" 1 "Pre" 0.0355987055016181 200 10 100
"glasso" 1 "TPR" 0.45360824742268 200 10 100
"glasso" 1 "MCC" 0.0666034891810239 200 10 100
"glasso" 1 "FDR" 0.964401294498382 200 10 100
"glasso" 1 "FPR" 0.245621265196785 200 10 100
"glasso" 1 "F1" 0.0660165041260315 200 10 100
"glasso" 1 "JI" 0.0341349883630721 200 10 100
"glasso" 1 "ED" 1245 200 10 100
"glasso" 1 "TP" 32 200 10 100
"glasso" 1 "FP" 1177 200 10 100
"glasso" 1 "FN" 63 200 10 100
"glasso" 1 "TN" 3678 200 10 100
"glasso" 1 "Pre" 0.0264681555004136 200 10 100
"glasso" 1 "TPR" 0.336842105263158 200 10 100
"glasso" 1 "MCC" 0.030149135982464 200 10 100
"glasso" 1 "FDR" 0.973531844499586 200 10 100
"glasso" 1 "FPR" 0.242430484037075 200 10 100
"glasso" 1 "F1" 0.049079754601227 200 10 100
"glasso" 1 "JI" 0.0251572327044025 200 10 100
"glasso" 1 "ED" 1240 200 10 100
"glasso" 1 "TP" 31 200 10 100
"glasso" 1 "FP" 1194 200 10 100
"glasso" 1 "FN" 66 200 10 100
"glasso" 1 "TN" 3659 200 10 100
"glasso" 1 "Pre" 0.0253061224489796 200 10 100
"glasso" 1 "TPR" 0.319587628865979 200 10 100
"glasso" 1 "MCC" 0.0236247698520747 200 10 100
"glasso" 1 "FDR" 0.97469387755102 200 10 100
"glasso" 1 "FPR" 0.246033381413559 200 10 100
"glasso" 1 "F1" 0.0468986384266263 200 10 100
"glasso" 1 "JI" 0.024012393493416 200 10 100
"glasso" 1 "ED" 1260 200 10 100
"glasso" 1 "TP" 33 200 10 100
"glasso" 1 "FP" 1180 200 10 100
"glasso" 1 "FN" 63 200 10 100
"glasso" 1 "TN" 3674 200 10 100
"glasso" 1 "Pre" 0.0272052761747733 200 10 100
"glasso" 1 "TPR" 0.34375 200 10 100
"glasso" 1 "MCC" 0.0322711105032117 200 10 100
"glasso" 1 "FDR" 0.972794723825227 200 10 100
"glasso" 1 "FPR" 0.243098475484137 200 10 100
"glasso" 1 "F1" 0.0504201680672269 200 10 100
"glasso" 1 "JI" 0.0258620689655172 200 10 100
"glasso" 1 "ED" 1243 200 10 100
"glasso" 1 "TP" 35 200 10 100
"glasso" 1 "FP" 1215 200 10 100
"glasso" 1 "FN" 63 200 10 100
"glasso" 1 "TN" 3637 200 10 100
"glasso" 1 "Pre" 0.028 200 10 100
"glasso" 1 "TPR" 0.357142857142857 200 10 100
"glasso" 1 "MCC" 0.0342221069420282 200 10 100
"glasso" 1 "FDR" 0.972 200 10 100
"glasso" 1 "FPR" 0.250412201154163 200 10 100
"glasso" 1 "F1" 0.0519287833827893 200 10 100
"glasso" 1 "JI" 0.0266565118050267 200 10 100
"glasso" 1 "ED" 1278 200 10 100
"glasso" 1 "TP" 40 200 10 100
"glasso" 1 "FP" 1196 200 10 100
"glasso" 1 "FN" 55 200 10 100
"glasso" 1 "TN" 3659 200 10 100
"glasso" 1 "Pre" 0.0323624595469256 200 10 100
"glasso" 1 "TPR" 0.421052631578947 200 10 100
"glasso" 1 "MCC" 0.0553784324279609 200 10 100
"glasso" 1 "FDR" 0.967637540453074 200 10 100
"glasso" 1 "FPR" 0.246343975283213 200 10 100
"glasso" 1 "F1" 0.0601051840721262 200 10 100
"glasso" 1 "JI" 0.0309837335398916 200 10 100
"glasso" 1 "ED" 1251 200 10 100
"glasso" 1 "TP" 36 200 10 100
"glasso" 1 "FP" 1149 200 10 100
"glasso" 1 "FN" 60 200 10 100
"glasso" 1 "TN" 3705 200 10 100
"glasso" 1 "Pre" 0.030379746835443 200 10 100
"glasso" 1 "TPR" 0.375 200 10 100
"glasso" 1 "MCC" 0.0446918532231836 200 10 100
"glasso" 1 "FDR" 0.969620253164557 200 10 100
"glasso" 1 "FPR" 0.236711990111248 200 10 100
"glasso" 1 "F1" 0.0562060889929742 200 10 100
"glasso" 1 "JI" 0.0289156626506024 200 10 100
"glasso" 1 "ED" 1209 200 10 100
"glasso" 1 "TP" 45 200 10 100
"glasso" 1 "FP" 1181 200 10 100
"glasso" 1 "FN" 49 200 10 100
"glasso" 1 "TN" 3675 200 10 100
"glasso" 1 "Pre" 0.0367047308319739 200 10 100
"glasso" 1 "TPR" 0.478723404255319 200 10 100
"glasso" 1 "MCC" 0.0744696591705171 200 10 100
"glasso" 1 "FDR" 0.963295269168026 200 10 100
"glasso" 1 "FPR" 0.243204283360791 200 10 100
"glasso" 1 "F1" 0.0681818181818182 200 10 100
"glasso" 1 "JI" 0.0352941176470588 200 10 100
"glasso" 1 "ED" 1230 200 10 100
"glasso" 1 "TP" 32 200 10 100
"glasso" 1 "FP" 1189 200 10 100
"glasso" 1 "FN" 65 200 10 100
"glasso" 1 "TN" 3664 200 10 100
"glasso" 1 "Pre" 0.0262080262080262 200 10 100
"glasso" 1 "TPR" 0.329896907216495 200 10 100
"glasso" 1 "MCC" 0.0272968822644709 200 10 100
"glasso" 1 "FDR" 0.973791973791974 200 10 100
"glasso" 1 "FPR" 0.245003090871626 200 10 100
"glasso" 1 "F1" 0.0485584218512898 200 10 100
"glasso" 1 "JI" 0.0248833592534992 200 10 100
"glasso" 1 "ED" 1254 200 10 100
"glasso" 1 "TP" 29 200 10 100
"glasso" 1 "FP" 1207 200 10 100
"glasso" 1 "FN" 66 200 10 100
"glasso" 1 "TN" 3648 200 10 100
"glasso" 1 "Pre" 0.023462783171521 200 10 100
"glasso" 1 "TPR" 0.305263157894737 200 10 100
"glasso" 1 "MCC" 0.0179577865393723 200 10 100
"glasso" 1 "FDR" 0.976537216828479 200 10 100
"glasso" 1 "FPR" 0.248609680741504 200 10 100
"glasso" 1 "F1" 0.0435762584522915 200 10 100
"glasso" 1 "JI" 0.022273425499232 200 10 100
"glasso" 1 "ED" 1273 200 10 100
"glasso" 1 "TP" 39 200 10 100
"glasso" 1 "FP" 1215 200 10 100
"glasso" 1 "FN" 59 200 10 100
"glasso" 1 "TN" 3637 200 10 100
"glasso" 1 "Pre" 0.0311004784688995 200 10 100
"glasso" 1 "TPR" 0.397959183673469 200 10 100
"glasso" 1 "MCC" 0.0472594884722144 200 10 100
"glasso" 1 "FDR" 0.9688995215311 200 10 100
"glasso" 1 "FPR" 0.250412201154163 200 10 100
"glasso" 1 "F1" 0.0576923076923077 200 10 100
"glasso" 1 "JI" 0.0297029702970297 200 10 100
"glasso" 1 "ED" 1274 200 10 100
"glasso" 1 "TP" 33 200 10 100
"glasso" 1 "FP" 1205 200 10 100
"glasso" 1 "FN" 62 200 10 100
"glasso" 1 "TN" 3650 200 10 100
"glasso" 1 "Pre" 0.0266558966074313 200 10 100
"glasso" 1 "TPR" 0.347368421052632 200 10 100
"glasso" 1 "MCC" 0.0314177756682021 200 10 100
"glasso" 1 "FDR" 0.973344103392569 200 10 100
"glasso" 1 "FPR" 0.248197734294542 200 10 100
