"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 18 200 50 100 0.01
"tvglasso" 1 "FP" 7 200 50 100 0.01
"tvglasso" 1 "FN" 78 200 50 100 0.01
"tvglasso" 1 "TN" 4847 200 50 100 0.01
"tvglasso" 1 "Pre" 0.72 200 50 100 0.01
"tvglasso" 1 "TPR" 0.1875 200 50 100 0.01
"tvglasso" 1 "MCC" 0.361959911375354 200 50 100 0.01
"tvglasso" 1 "FDR" 0.28 200 50 100 0.01
"tvglasso" 1 "FPR" 0.00144210960032962 200 50 100 0.01
"tvglasso" 1 "F1" 0.297520661157025 200 50 100 0.01
"tvglasso" 1 "JI" 0.174757281553398 200 50 100 0.01
"tvglasso" 1 "ED" 85 200 50 100 0.01
"tvglasso" 1 "TP" 21 200 50 100 0.01
"tvglasso" 1 "FP" 1 200 50 100 0.01
"tvglasso" 1 "FN" 76 200 50 100 0.01
"tvglasso" 1 "TN" 4852 200 50 100 0.01
"tvglasso" 1 "Pre" 0.954545454545455 200 50 100 0.01
"tvglasso" 1 "TPR" 0.216494845360825 200 50 100 0.01
"tvglasso" 1 "MCC" 0.45069042169796 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0454545454545455 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000206058108386565 200 50 100 0.01
"tvglasso" 1 "F1" 0.352941176470588 200 50 100 0.01
"tvglasso" 1 "JI" 0.214285714285714 200 50 100 0.01
"tvglasso" 1 "ED" 77 200 50 100 0.01
"tvglasso" 1 "TP" 18 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 77 200 50 100 0.01
"tvglasso" 1 "TN" 4855 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.189473684210526 200 50 100 0.01
"tvglasso" 1 "MCC" 0.431874471311304 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.31858407079646 200 50 100 0.01
"tvglasso" 1 "JI" 0.189473684210526 200 50 100 0.01
"tvglasso" 1 "ED" 77 200 50 100 0.01
"tvglasso" 1 "TP" 29 200 50 100 0.01
"tvglasso" 1 "FP" 1 200 50 100 0.01
"tvglasso" 1 "FN" 68 200 50 100 0.01
"tvglasso" 1 "TN" 4852 200 50 100 0.01
"tvglasso" 1 "Pre" 0.966666666666667 200 50 100 0.01
"tvglasso" 1 "TPR" 0.298969072164948 200 50 100 0.01
"tvglasso" 1 "MCC" 0.533549437270454 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0333333333333333 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000206058108386565 200 50 100 0.01
"tvglasso" 1 "F1" 0.456692913385827 200 50 100 0.01
"tvglasso" 1 "JI" 0.295918367346939 200 50 100 0.01
"tvglasso" 1 "ED" 69 200 50 100 0.01
"tvglasso" 1 "TP" 22 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 72 200 50 100 0.01
"tvglasso" 1 "TN" 4856 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.234042553191489 200 50 100 0.01
"tvglasso" 1 "MCC" 0.480232339918868 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.379310344827586 200 50 100 0.01
"tvglasso" 1 "JI" 0.234042553191489 200 50 100 0.01
"tvglasso" 1 "ED" 72 200 50 100 0.01
"tvglasso" 1 "TP" 35 200 50 100 0.01
"tvglasso" 1 "FP" 3 200 50 100 0.01
"tvglasso" 1 "FN" 61 200 50 100 0.01
"tvglasso" 1 "TN" 4851 200 50 100 0.01
"tvglasso" 1 "Pre" 0.921052631578947 200 50 100 0.01
"tvglasso" 1 "TPR" 0.364583333333333 200 50 100 0.01
"tvglasso" 1 "MCC" 0.57507500171224 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0789473684210526 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000618046971569839 200 50 100 0.01
"tvglasso" 1 "F1" 0.522388059701492 200 50 100 0.01
"tvglasso" 1 "JI" 0.353535353535354 200 50 100 0.01
"tvglasso" 1 "ED" 64 200 50 100 0.01
"tvglasso" 1 "TP" 42 200 50 100 0.01
"tvglasso" 1 "FP" 3 200 50 100 0.01
"tvglasso" 1 "FN" 52 200 50 100 0.01
"tvglasso" 1 "TN" 4853 200 50 100 0.01
"tvglasso" 1 "Pre" 0.933333333333333 200 50 100 0.01
"tvglasso" 1 "TPR" 0.446808510638298 200 50 100 0.01
"tvglasso" 1 "MCC" 0.641649758011956 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0666666666666667 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000617792421746293 200 50 100 0.01
"tvglasso" 1 "F1" 0.60431654676259 200 50 100 0.01
"tvglasso" 1 "JI" 0.43298969072165 200 50 100 0.01
"tvglasso" 1 "ED" 55 200 50 100 0.01
"tvglasso" 1 "TP" 29 200 50 100 0.01
"tvglasso" 1 "FP" 1 200 50 100 0.01
"tvglasso" 1 "FN" 67 200 50 100 0.01
"tvglasso" 1 "TN" 4853 200 50 100 0.01
"tvglasso" 1 "Pre" 0.966666666666667 200 50 100 0.01
"tvglasso" 1 "TPR" 0.302083333333333 200 50 100 0.01
"tvglasso" 1 "MCC" 0.536380284376838 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0333333333333333 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000206015657189946 200 50 100 0.01
"tvglasso" 1 "F1" 0.46031746031746 200 50 100 0.01
"tvglasso" 1 "JI" 0.298969072164948 200 50 100 0.01
"tvglasso" 1 "ED" 68 200 50 100 0.01
"tvglasso" 1 "TP" 31 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 64 200 50 100 0.01
"tvglasso" 1 "TN" 4855 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.326315789473684 200 50 100 0.01
"tvglasso" 1 "MCC" 0.567512262691738 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.492063492063492 200 50 100 0.01
"tvglasso" 1 "JI" 0.326315789473684 200 50 100 0.01
"tvglasso" 1 "ED" 64 200 50 100 0.01
"tvglasso" 1 "TP" 30 200 50 100 0.01
"tvglasso" 1 "FP" 3 200 50 100 0.01
"tvglasso" 1 "FN" 68 200 50 100 0.01
"tvglasso" 1 "TN" 4849 200 50 100 0.01
"tvglasso" 1 "Pre" 0.909090909090909 200 50 100 0.01
"tvglasso" 1 "TPR" 0.306122448979592 200 50 100 0.01
"tvglasso" 1 "MCC" 0.522978060434271 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0909090909090909 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000618301731244847 200 50 100 0.01
"tvglasso" 1 "F1" 0.458015267175573 200 50 100 0.01
"tvglasso" 1 "JI" 0.297029702970297 200 50 100 0.01
"tvglasso" 1 "ED" 71 200 50 100 0.01
"tvglasso" 1 "TP" 33 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 64 200 50 100 0.01
"tvglasso" 1 "TN" 4851 200 50 100 0.01
"tvglasso" 1 "Pre" 0.942857142857143 200 50 100 0.01
"tvglasso" 1 "TPR" 0.34020618556701 200 50 100 0.01
"tvglasso" 1 "MCC" 0.562096685104974 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0571428571428571 200 50 100 0.01
"tvglasso" 1 "FPR" 0.00041211621677313 200 50 100 0.01
"tvglasso" 1 "F1" 0.5 200 50 100 0.01
"tvglasso" 1 "JI" 0.333333333333333 200 50 100 0.01
"tvglasso" 1 "ED" 66 200 50 100 0.01
"tvglasso" 1 "TP" 35 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 64 200 50 100 0.01
"tvglasso" 1 "TN" 4849 200 50 100 0.01
"tvglasso" 1 "Pre" 0.945945945945946 200 50 100 0.01
"tvglasso" 1 "TPR" 0.353535353535354 200 50 100 0.01
"tvglasso" 1 "MCC" 0.573964562061305 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0540540540540541 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000412286126571841 200 50 100 0.01
"tvglasso" 1 "F1" 0.514705882352941 200 50 100 0.01
"tvglasso" 1 "JI" 0.346534653465347 200 50 100 0.01
"tvglasso" 1 "ED" 66 200 50 100 0.01
"tvglasso" 1 "TP" 26 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 70 200 50 100 0.01
"tvglasso" 1 "TN" 4854 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.270833333333333 200 50 100 0.01
"tvglasso" 1 "MCC" 0.516704116284688 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.426229508196721 200 50 100 0.01
"tvglasso" 1 "JI" 0.270833333333333 200 50 100 0.01
"tvglasso" 1 "ED" 70 200 50 100 0.01
"tvglasso" 1 "TP" 36 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 63 200 50 100 0.01
"tvglasso" 1 "TN" 4851 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.363636363636364 200 50 100 0.01
"tvglasso" 1 "MCC" 0.599144689515278 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.533333333333333 200 50 100 0.01
"tvglasso" 1 "JI" 0.363636363636364 200 50 100 0.01
"tvglasso" 1 "ED" 63 200 50 100 0.01
"tvglasso" 1 "TP" 24 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 72 200 50 100 0.01
"tvglasso" 1 "TN" 4852 200 50 100 0.01
"tvglasso" 1 "Pre" 0.923076923076923 200 50 100 0.01
"tvglasso" 1 "TPR" 0.25 200 50 100 0.01
"tvglasso" 1 "MCC" 0.476171559858438 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0769230769230769 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000412031314379893 200 50 100 0.01
"tvglasso" 1 "F1" 0.39344262295082 200 50 100 0.01
"tvglasso" 1 "JI" 0.244897959183673 200 50 100 0.01
"tvglasso" 1 "ED" 74 200 50 100 0.01
"tvglasso" 1 "TP" 10 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 88 200 50 100 0.01
"tvglasso" 1 "TN" 4852 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.102040816326531 200 50 100 0.01
"tvglasso" 1 "MCC" 0.316580298163817 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.185185185185185 200 50 100 0.01
"tvglasso" 1 "JI" 0.102040816326531 200 50 100 0.01
"tvglasso" 1 "ED" 88 200 50 100 0.01
"tvglasso" 1 "TP" 28 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 68 200 50 100 0.01
"tvglasso" 1 "TN" 4852 200 50 100 0.01
"tvglasso" 1 "Pre" 0.933333333333333 200 50 100 0.01
"tvglasso" 1 "TPR" 0.291666666666667 200 50 100 0.01
"tvglasso" 1 "MCC" 0.517505738221543 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0666666666666667 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000412031314379893 200 50 100 0.01
"tvglasso" 1 "F1" 0.444444444444444 200 50 100 0.01
"tvglasso" 1 "JI" 0.285714285714286 200 50 100 0.01
"tvglasso" 1 "ED" 70 200 50 100 0.01
"tvglasso" 1 "TP" 22 200 50 100 0.01
"tvglasso" 1 "FP" 3 200 50 100 0.01
"tvglasso" 1 "FN" 77 200 50 100 0.01
"tvglasso" 1 "TN" 4848 200 50 100 0.01
"tvglasso" 1 "Pre" 0.88 200 50 100 0.01
"tvglasso" 1 "TPR" 0.222222222222222 200 50 100 0.01
"tvglasso" 1 "MCC" 0.437660449925731 200 50 100 0.01
"tvglasso" 1 "FDR" 0.12 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000618429189857761 200 50 100 0.01
"tvglasso" 1 "F1" 0.354838709677419 200 50 100 0.01
"tvglasso" 1 "JI" 0.215686274509804 200 50 100 0.01
"tvglasso" 1 "ED" 80 200 50 100 0.01
"tvglasso" 1 "TP" 24 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 73 200 50 100 0.01
"tvglasso" 1 "TN" 4851 200 50 100 0.01
"tvglasso" 1 "Pre" 0.923076923076923 200 50 100 0.01
"tvglasso" 1 "TPR" 0.247422680412371 200 50 100 0.01
"tvglasso" 1 "MCC" 0.473653601982633 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0769230769230769 200 50 100 0.01
"tvglasso" 1 "FPR" 0.00041211621677313 200 50 100 0.01
"tvglasso" 1 "F1" 0.390243902439024 200 50 100 0.01
"tvglasso" 1 "JI" 0.242424242424242 200 50 100 0.01
"tvglasso" 1 "ED" 75 200 50 100 0.01
"tvglasso" 1 "TP" 30 200 50 100 0.01
"tvglasso" 1 "FP" 3 200 50 100 0.01
"tvglasso" 1 "FN" 68 200 50 100 0.01
"tvglasso" 1 "TN" 4849 200 50 100 0.01
"tvglasso" 1 "Pre" 0.909090909090909 200 50 100 0.01
"tvglasso" 1 "TPR" 0.306122448979592 200 50 100 0.01
"tvglasso" 1 "MCC" 0.522978060434271 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0909090909090909 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000618301731244847 200 50 100 0.01
"tvglasso" 1 "F1" 0.458015267175573 200 50 100 0.01
"tvglasso" 1 "JI" 0.297029702970297 200 50 100 0.01
"tvglasso" 1 "ED" 71 200 50 100 0.01
"tvglasso" 1 "TP" 10 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 86 200 50 100 0.01
"tvglasso" 1 "TN" 4854 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.104166666666667 200 50 100 0.01
"tvglasso" 1 "MCC" 0.319926927385609 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
"tvglasso" 1 "F1" 0.188679245283019 200 50 100 0.01
"tvglasso" 1 "JI" 0.104166666666667 200 50 100 0.01
"tvglasso" 1 "ED" 86 200 50 100 0.01
"tvglasso" 1 "TP" 17 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 81 200 50 100 0.01
"tvglasso" 1 "TN" 4850 200 50 100 0.01
"tvglasso" 1 "Pre" 0.894736842105263 200 50 100 0.01
"tvglasso" 1 "TPR" 0.173469387755102 200 50 100 0.01
"tvglasso" 1 "MCC" 0.389869060302088 200 50 100 0.01
"tvglasso" 1 "FDR" 0.105263157894737 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000412201154163232 200 50 100 0.01
"tvglasso" 1 "F1" 0.290598290598291 200 50 100 0.01
"tvglasso" 1 "JI" 0.17 200 50 100 0.01
"tvglasso" 1 "ED" 83 200 50 100 0.01
"tvglasso" 1 "TP" 35 200 50 100 0.01
"tvglasso" 1 "FP" 4 200 50 100 0.01
"tvglasso" 1 "FN" 61 200 50 100 0.01
"tvglasso" 1 "TN" 4850 200 50 100 0.01
"tvglasso" 1 "Pre" 0.897435897435897 200 50 100 0.01
"tvglasso" 1 "TPR" 0.364583333333333 200 50 100 0.01
"tvglasso" 1 "MCC" 0.567390816734807 200 50 100 0.01
"tvglasso" 1 "FDR" 0.102564102564103 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000824062628759786 200 50 100 0.01
"tvglasso" 1 "F1" 0.518518518518518 200 50 100 0.01
"tvglasso" 1 "JI" 0.35 200 50 100 0.01
"tvglasso" 1 "ED" 65 200 50 100 0.01
"tvglasso" 1 "TP" 37 200 50 100 0.01
"tvglasso" 1 "FP" 2 200 50 100 0.01
"tvglasso" 1 "FN" 62 200 50 100 0.01
"tvglasso" 1 "TN" 4849 200 50 100 0.01
"tvglasso" 1 "Pre" 0.948717948717949 200 50 100 0.01
"tvglasso" 1 "TPR" 0.373737373737374 200 50 100 0.01
"tvglasso" 1 "MCC" 0.59115741272264 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0512820512820513 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000412286126571841 200 50 100 0.01
"tvglasso" 1 "F1" 0.536231884057971 200 50 100 0.01
"tvglasso" 1 "JI" 0.366336633663366 200 50 100 0.01
"tvglasso" 1 "ED" 64 200 50 100 0.01
"tvglasso" 1 "TP" 10 200 50 100 0.01
"tvglasso" 1 "FP" 1 200 50 100 0.01
"tvglasso" 1 "FN" 86 200 50 100 0.01
"tvglasso" 1 "TN" 4853 200 50 100 0.01
"tvglasso" 1 "Pre" 0.909090909090909 200 50 100 0.01
"tvglasso" 1 "TPR" 0.104166666666667 200 50 100 0.01
"tvglasso" 1 "MCC" 0.304465884795322 200 50 100 0.01
"tvglasso" 1 "FDR" 0.0909090909090909 200 50 100 0.01
"tvglasso" 1 "FPR" 0.000206015657189946 200 50 100 0.01
"tvglasso" 1 "F1" 0.186915887850467 200 50 100 0.01
"tvglasso" 1 "JI" 0.103092783505155 200 50 100 0.01
"tvglasso" 1 "ED" 87 200 50 100 0.01
"tvglasso" 1 "TP" 18 200 50 100 0.01
"tvglasso" 1 "FP" 0 200 50 100 0.01
"tvglasso" 1 "FN" 81 200 50 100 0.01
"tvglasso" 1 "TN" 4851 200 50 100 0.01
"tvglasso" 1 "Pre" 1 200 50 100 0.01
"tvglasso" 1 "TPR" 0.181818181818182 200 50 100 0.01
"tvglasso" 1 "MCC" 0.422885465331124 200 50 100 0.01
"tvglasso" 1 "FDR" 0 200 50 100 0.01
"tvglasso" 1 "FPR" 0 200 50 100 0.01
