"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 95 200 100 100
"glasso" 1 "FP" 103 200 100 100
"glasso" 1 "FN" 52 200 100 100
"glasso" 1 "TN" 4750 200 100 100
"glasso" 1 "Pre" 0.47979797979798 200 100 100
"glasso" 1 "TPR" 0.646258503401361 200 100 100
"glasso" 1 "MCC" 0.541407343905465 200 100 100
"glasso" 1 "FDR" 0.52020202020202 200 100 100
"glasso" 1 "FPR" 0.0212239851638162 200 100 100
"glasso" 1 "F1" 0.550724637681159 200 100 100
"glasso" 1 "TP" 89 200 100 100
"glasso" 1 "FP" 128 200 100 100
"glasso" 1 "FN" 60 200 100 100
"glasso" 1 "TN" 4723 200 100 100
"glasso" 1 "Pre" 0.410138248847926 200 100 100
"glasso" 1 "TPR" 0.597315436241611 200 100 100
"glasso" 1 "MCC" 0.476442957546882 200 100 100
"glasso" 1 "FDR" 0.589861751152074 200 100 100
"glasso" 1 "FPR" 0.0263863121005978 200 100 100
"glasso" 1 "F1" 0.486338797814208 200 100 100
"glasso" 1 "TP" 92 200 100 100
"glasso" 1 "FP" 82 200 100 100
"glasso" 1 "FN" 55 200 100 100
"glasso" 1 "TN" 4771 200 100 100
"glasso" 1 "Pre" 0.528735632183908 200 100 100
"glasso" 1 "TPR" 0.625850340136054 200 100 100
"glasso" 1 "MCC" 0.561280190461046 200 100 100
"glasso" 1 "FDR" 0.471264367816092 200 100 100
"glasso" 1 "FPR" 0.0168967648876983 200 100 100
"glasso" 1 "F1" 0.573208722741433 200 100 100
"glasso" 1 "TP" 90 200 100 100
"glasso" 1 "FP" 86 200 100 100
"glasso" 1 "FN" 59 200 100 100
"glasso" 1 "TN" 4765 200 100 100
"glasso" 1 "Pre" 0.511363636363636 200 100 100
"glasso" 1 "TPR" 0.604026845637584 200 100 100
"glasso" 1 "MCC" 0.540963050444892 200 100 100
"glasso" 1 "FDR" 0.488636363636364 200 100 100
"glasso" 1 "FPR" 0.0177283034425892 200 100 100
"glasso" 1 "F1" 0.553846153846154 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 112 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4741 200 100 100
"glasso" 1 "Pre" 0.464114832535885 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.537490394741257 200 100 100
"glasso" 1 "FDR" 0.535885167464115 200 100 100
"glasso" 1 "FPR" 0.0230785081392953 200 100 100
"glasso" 1 "F1" 0.544943820224719 200 100 100
"glasso" 1 "TP" 91 200 100 100
"glasso" 1 "FP" 103 200 100 100
"glasso" 1 "FN" 58 200 100 100
"glasso" 1 "TN" 4748 200 100 100
"glasso" 1 "Pre" 0.469072164948454 200 100 100
"glasso" 1 "TPR" 0.610738255033557 200 100 100
"glasso" 1 "MCC" 0.519043670096649 200 100 100
"glasso" 1 "FDR" 0.530927835051546 200 100 100
"glasso" 1 "FPR" 0.0212327355184498 200 100 100
"glasso" 1 "F1" 0.530612244897959 200 100 100
"glasso" 1 "TP" 88 200 100 100
"glasso" 1 "FP" 80 200 100 100
"glasso" 1 "FN" 59 200 100 100
"glasso" 1 "TN" 4773 200 100 100
"glasso" 1 "Pre" 0.523809523809524 200 100 100
"glasso" 1 "TPR" 0.598639455782313 200 100 100
"glasso" 1 "MCC" 0.545738002972504 200 100 100
"glasso" 1 "FDR" 0.476190476190476 200 100 100
"glasso" 1 "FPR" 0.0164846486709252 200 100 100
"glasso" 1 "F1" 0.558730158730159 200 100 100
"glasso" 1 "TP" 86 200 100 100
"glasso" 1 "FP" 119 200 100 100
"glasso" 1 "FN" 63 200 100 100
"glasso" 1 "TN" 4732 200 100 100
"glasso" 1 "Pre" 0.419512195121951 200 100 100
"glasso" 1 "TPR" 0.577181208053691 200 100 100
"glasso" 1 "MCC" 0.473901249547187 200 100 100
"glasso" 1 "FDR" 0.580487804878049 200 100 100
"glasso" 1 "FPR" 0.0245310245310245 200 100 100
"glasso" 1 "F1" 0.485875706214689 200 100 100
"glasso" 1 "TP" 87 200 100 100
"glasso" 1 "FP" 55 200 100 100
"glasso" 1 "FN" 60 200 100 100
"glasso" 1 "TN" 4798 200 100 100
"glasso" 1 "Pre" 0.612676056338028 200 100 100
"glasso" 1 "TPR" 0.591836734693878 200 100 100
"glasso" 1 "MCC" 0.590331227336431 200 100 100
"glasso" 1 "FDR" 0.387323943661972 200 100 100
"glasso" 1 "FPR" 0.0113331959612611 200 100 100
"glasso" 1 "F1" 0.602076124567474 200 100 100
"glasso" 1 "TP" 96 200 100 100
"glasso" 1 "FP" 118 200 100 100
"glasso" 1 "FN" 53 200 100 100
"glasso" 1 "TN" 4733 200 100 100
"glasso" 1 "Pre" 0.448598130841121 200 100 100
"glasso" 1 "TPR" 0.644295302013423 200 100 100
"glasso" 1 "MCC" 0.520818625474109 200 100 100
"glasso" 1 "FDR" 0.551401869158878 200 100 100
"glasso" 1 "FPR" 0.0243248814677386 200 100 100
"glasso" 1 "F1" 0.528925619834711 200 100 100
"glasso" 1 "TP" 94 200 100 100
"glasso" 1 "FP" 96 200 100 100
"glasso" 1 "FN" 53 200 100 100
"glasso" 1 "TN" 4757 200 100 100
"glasso" 1 "Pre" 0.494736842105263 200 100 100
"glasso" 1 "TPR" 0.639455782312925 200 100 100
"glasso" 1 "MCC" 0.547492144050337 200 100 100
