"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 79 200 50 100
"glasso" 1 "FP" 95 200 50 100
"glasso" 1 "FN" 18 200 50 100
"glasso" 1 "TN" 4758 200 50 100
"glasso" 1 "Pre" 0.454022988505747 200 50 100
"glasso" 1 "TPR" 0.814432989690722 200 50 100
"glasso" 1 "MCC" 0.598237302172182 200 50 100
"glasso" 1 "FDR" 0.545977011494253 200 50 100
"glasso" 1 "FPR" 0.0195755202967237 200 50 100
"glasso" 1 "F1" 0.583025830258303 200 50 100
"glasso" 1 "JI" 0.411458333333333 200 50 100
"glasso" 1 "ED" 113 200 50 100
"glasso" 1 "TP" 63 200 50 100
"glasso" 1 "FP" 59 200 50 100
"glasso" 1 "FN" 36 200 50 100
"glasso" 1 "TN" 4792 200 50 100
"glasso" 1 "Pre" 0.516393442622951 200 50 100
"glasso" 1 "TPR" 0.636363636363636 200 50 100
"glasso" 1 "MCC" 0.563630238505906 200 50 100
"glasso" 1 "FDR" 0.483606557377049 200 50 100
"glasso" 1 "FPR" 0.0121624407338693 200 50 100
"glasso" 1 "F1" 0.570135746606335 200 50 100
"glasso" 1 "JI" 0.39873417721519 200 50 100
"glasso" 1 "ED" 95 200 50 100
"glasso" 1 "TP" 91 200 50 100
"glasso" 1 "FP" 163 200 50 100
"glasso" 1 "FN" 6 200 50 100
"glasso" 1 "TN" 4690 200 50 100
"glasso" 1 "Pre" 0.358267716535433 200 50 100
"glasso" 1 "TPR" 0.938144329896907 200 50 100
"glasso" 1 "MCC" 0.568258552977832 200 50 100
"glasso" 1 "FDR" 0.641732283464567 200 50 100
"glasso" 1 "FPR" 0.0335874716670101 200 50 100
"glasso" 1 "F1" 0.518518518518518 200 50 100
"glasso" 1 "JI" 0.35 200 50 100
"glasso" 1 "ED" 169 200 50 100
"glasso" 1 "TP" 71 200 50 100
"glasso" 1 "FP" 92 200 50 100
"glasso" 1 "FN" 28 200 50 100
"glasso" 1 "TN" 4759 200 50 100
"glasso" 1 "Pre" 0.43558282208589 200 50 100
"glasso" 1 "TPR" 0.717171717171717 200 50 100
"glasso" 1 "MCC" 0.547761672221892 200 50 100
"glasso" 1 "FDR" 0.56441717791411 200 50 100
"glasso" 1 "FPR" 0.0189651618223047 200 50 100
"glasso" 1 "F1" 0.541984732824427 200 50 100
"glasso" 1 "JI" 0.371727748691099 200 50 100
"glasso" 1 "ED" 120 200 50 100
"glasso" 1 "TP" 76 200 50 100
"glasso" 1 "FP" 91 200 50 100
"glasso" 1 "FN" 21 200 50 100
"glasso" 1 "TN" 4762 200 50 100
"glasso" 1 "Pre" 0.455089820359281 200 50 100
"glasso" 1 "TPR" 0.783505154639175 200 50 100
"glasso" 1 "MCC" 0.587089439407923 200 50 100
