"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 97 200 100 100 2.5
"tvglasso" 1 "FP" 97 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4756 200 100 100 2.5
"tvglasso" 1 "Pre" 0.5 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.700004415516968 200 100 100 2.5
"tvglasso" 1 "FDR" 0.5 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0199876365134968 200 100 100 2.5
"tvglasso" 1 "F1" 0.666666666666667 200 100 100 2.5
"tvglasso" 1 "JI" 0.5 200 100 100 2.5
"tvglasso" 1 "ED" 97 200 100 100 2.5
"tvglasso" 1 "TP" 98 200 100 100 2.5
"tvglasso" 1 "FP" 96 200 100 100 2.5
"tvglasso" 1 "FN" 1 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.505154639175258 200 100 100 2.5
"tvglasso" 1 "TPR" 0.98989898989899 200 100 100 2.5
"tvglasso" 1 "MCC" 0.699893717083039 200 100 100 2.5
"tvglasso" 1 "FDR" 0.494845360824742 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0197897340754484 200 100 100 2.5
"tvglasso" 1 "F1" 0.668941979522184 200 100 100 2.5
"tvglasso" 1 "JI" 0.502564102564103 200 100 100 2.5
"tvglasso" 1 "ED" 97 200 100 100 2.5
"tvglasso" 1 "TP" 97 200 100 100 2.5
"tvglasso" 1 "FP" 98 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.497435897435897 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.698133818711796 200 100 100 2.5
"tvglasso" 1 "FDR" 0.502564102564103 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0201936946218834 200 100 100 2.5
"tvglasso" 1 "F1" 0.664383561643836 200 100 100 2.5
"tvglasso" 1 "JI" 0.497435897435897 200 100 100 2.5
"tvglasso" 1 "ED" 98 200 100 100 2.5
"tvglasso" 1 "TP" 99 200 100 100 2.5
"tvglasso" 1 "FP" 96 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.507692307692308 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.705439729481496 200 100 100 2.5
"tvglasso" 1 "FDR" 0.492307692307692 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0197897340754484 200 100 100 2.5
"tvglasso" 1 "F1" 0.673469387755102 200 100 100 2.5
"tvglasso" 1 "JI" 0.507692307692308 200 100 100 2.5
"tvglasso" 1 "ED" 96 200 100 100 2.5
"tvglasso" 1 "TP" 97 200 100 100 2.5
"tvglasso" 1 "FP" 98 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.497435897435897 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.698133818711796 200 100 100 2.5
"tvglasso" 1 "FDR" 0.502564102564103 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0201936946218834 200 100 100 2.5
"tvglasso" 1 "F1" 0.664383561643836 200 100 100 2.5
"tvglasso" 1 "JI" 0.497435897435897 200 100 100 2.5
"tvglasso" 1 "ED" 98 200 100 100 2.5
"tvglasso" 1 "TP" 99 200 100 100 2.5
"tvglasso" 1 "FP" 96 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.507692307692308 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.705439729481496 200 100 100 2.5
"tvglasso" 1 "FDR" 0.492307692307692 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0197897340754484 200 100 100 2.5
"tvglasso" 1 "F1" 0.673469387755102 200 100 100 2.5
"tvglasso" 1 "JI" 0.507692307692308 200 100 100 2.5
"tvglasso" 1 "ED" 96 200 100 100 2.5
"tvglasso" 1 "TP" 97 200 100 100 2.5
"tvglasso" 1 "FP" 98 200 100 100 2.5
"tvglasso" 1 "FN" 0 200 100 100 2.5
"tvglasso" 1 "TN" 4755 200 100 100 2.5
"tvglasso" 1 "Pre" 0.497435897435897 200 100 100 2.5
"tvglasso" 1 "TPR" 1 200 100 100 2.5
"tvglasso" 1 "MCC" 0.698133818711796 200 100 100 2.5
"tvglasso" 1 "FDR" 0.502564102564103 200 100 100 2.5
"tvglasso" 1 "FPR" 0.0201936946218834 200 100 100 2.5
