"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 113 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4740 200 10 100 1
"tvglasso" 1 "Pre" 0.461904761904762 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.671676640859328 200 10 100 1
"tvglasso" 1 "FDR" 0.538095238095238 200 10 100 1
"tvglasso" 1 "FPR" 0.0232845662476818 200 10 100 1
"tvglasso" 1 "F1" 0.631921824104234 200 10 100 1
"tvglasso" 1 "JI" 0.461904761904762 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 112 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4739 200 10 100 1
"tvglasso" 1 "Pre" 0.466666666666667 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.671546336912094 200 10 100 1
"tvglasso" 1 "FDR" 0.533333333333333 200 10 100 1
"tvglasso" 1 "FPR" 0.0230880230880231 200 10 100 1
"tvglasso" 1 "F1" 0.634304207119741 200 10 100 1
"tvglasso" 1 "JI" 0.464454976303318 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 112 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4741 200 10 100 1
"tvglasso" 1 "Pre" 0.464114832535885 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.673352622773267 200 10 100 1
"tvglasso" 1 "FDR" 0.535885167464115 200 10 100 1
"tvglasso" 1 "FPR" 0.0230785081392953 200 10 100 1
"tvglasso" 1 "F1" 0.633986928104575 200 10 100 1
"tvglasso" 1 "JI" 0.464114832535885 200 10 100 1
"tvglasso" 1 "ED" 112 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 111 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4740 200 10 100 1
"tvglasso" 1 "Pre" 0.4688995215311 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.6732235075481 200 10 100 1
"tvglasso" 1 "FDR" 0.5311004784689 200 10 100 1
"tvglasso" 1 "FPR" 0.0228818800247372 200 10 100 1
"tvglasso" 1 "F1" 0.636363636363636 200 10 100 1
"tvglasso" 1 "JI" 0.466666666666667 200 10 100 1
"tvglasso" 1 "ED" 112 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 114 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4739 200 10 100 1
"tvglasso" 1 "Pre" 0.459715639810427 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.670012412127589 200 10 100 1
"tvglasso" 1 "FDR" 0.540284360189573 200 10 100 1
"tvglasso" 1 "FPR" 0.0234906243560684 200 10 100 1
"tvglasso" 1 "F1" 0.62987012987013 200 10 100 1
"tvglasso" 1 "JI" 0.459715639810427 200 10 100 1
"tvglasso" 1 "ED" 114 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
