"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 37 200 10 100
"glasso" 1 "FP" 1204 200 10 100
"glasso" 1 "FN" 62 200 10 100
"glasso" 1 "TN" 3697 200 10 100
"glasso" 1 "Pre" 0.0298146655922643 200 10 100
"glasso" 1 "TPR" 0.373737373737374 200 10 100
"glasso" 1 "MCC" 0.0413043921837466 200 10 100
"glasso" 1 "FDR" 0.970185334407736 200 10 100
"glasso" 1 "FPR" 0.245664150173434 200 10 100
"glasso" 1 "F1" 0.0552238805970149 200 10 100
"glasso" 1 "TP" 43 200 10 100
"glasso" 1 "FP" 1173 200 10 100
"glasso" 1 "FN" 56 200 10 100
"glasso" 1 "TN" 3728 200 10 100
"glasso" 1 "Pre" 0.0353618421052632 200 10 100
"glasso" 1 "TPR" 0.434343434343434 200 10 100
"glasso" 1 "MCC" 0.0633231169422469 200 10 100
"glasso" 1 "FDR" 0.964638157894737 200 10 100
"glasso" 1 "FPR" 0.239338910426444 200 10 100
"glasso" 1 "F1" 0.0653992395437262 200 10 100
"glasso" 1 "TP" 40 200 10 100
"glasso" 1 "FP" 1200 200 10 100
"glasso" 1 "FN" 59 200 10 100
"glasso" 1 "TN" 3701 200 10 100
"glasso" 1 "Pre" 0.032258064516129 200 10 100
"glasso" 1 "TPR" 0.404040404040404 200 10 100
"glasso" 1 "MCC" 0.0513543872303132 200 10 100
"glasso" 1 "FDR" 0.967741935483871 200 10 100
"glasso" 1 "FPR" 0.24484799020608 200 10 100
"glasso" 1 "F1" 0.0597460791635549 200 10 100
"glasso" 1 "TP" 38 200 10 100
"glasso" 1 "FP" 1180 200 10 100
"glasso" 1 "FN" 61 200 10 100
"glasso" 1 "TN" 3721 200 10 100
"glasso" 1 "Pre" 0.0311986863711002 200 10 100
"glasso" 1 "TPR" 0.383838383838384 200 10 100
"glasso" 1 "MCC" 0.0464331067140474 200 10 100
"glasso" 1 "FDR" 0.9688013136289 200 10 100
"glasso" 1 "FPR" 0.240767190369312 200 10 100
"glasso" 1 "F1" 0.0577069096431283 200 10 100
"glasso" 1 "TP" 31 200 10 100
"glasso" 1 "FP" 1195 200 10 100
"glasso" 1 "FN" 68 200 10 100
"glasso" 1 "TN" 3706 200 10 100
"glasso" 1 "Pre" 0.0252854812398042 200 10 100
"glasso" 1 "TPR" 0.313131313131313 200 10 100
"glasso" 1 "MCC" 0.022442388547184 200 10 100
"glasso" 1 "FDR" 0.974714518760196 200 10 100
"glasso" 1 "FPR" 0.243827790246888 200 10 100
"glasso" 1 "F1" 0.0467924528301887 200 10 100
"glasso" 1 "TP" 38 200 10 100
"glasso" 1 "FP" 1189 200 10 100
"glasso" 1 "FN" 61 200 10 100
"glasso" 1 "TN" 3712 200 10 100
"glasso" 1 "Pre" 0.0309698451507742 200 10 100
"glasso" 1 "TPR" 0.383838383838384 200 10 100
"glasso" 1 "MCC" 0.0457231441522275 200 10 100
"glasso" 1 "FDR" 0.969030154849226 200 10 100
"glasso" 1 "FPR" 0.242603550295858 200 10 100
