"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 23 200 50 100
"glasso" 1 "FP" 19 200 50 100
"glasso" 1 "FN" 76 200 50 100
"glasso" 1 "TN" 4832 200 50 100
"glasso" 1 "Pre" 0.547619047619048 200 50 100
"glasso" 1 "TPR" 0.232323232323232 200 50 100
"glasso" 1 "MCC" 0.348630033912663 200 50 100
"glasso" 1 "FDR" 0.452380952380952 200 50 100
"glasso" 1 "FPR" 0.00391671820243249 200 50 100
"glasso" 1 "F1" 0.326241134751773 200 50 100
"glasso" 1 "JI" 0.194915254237288 200 50 100
"glasso" 1 "ED" 95 200 50 100
"glasso" 1 "TP" 13 200 50 100
"glasso" 1 "FP" 3 200 50 100
"glasso" 1 "FN" 86 200 50 100
"glasso" 1 "TN" 4848 200 50 100
"glasso" 1 "Pre" 0.8125 200 50 100
"glasso" 1 "TPR" 0.131313131313131 200 50 100
"glasso" 1 "MCC" 0.322352953688169 200 50 100
"glasso" 1 "FDR" 0.1875 200 50 100
"glasso" 1 "FPR" 0.000618429189857761 200 50 100
"glasso" 1 "F1" 0.226086956521739 200 50 100
"glasso" 1 "JI" 0.127450980392157 200 50 100
"glasso" 1 "ED" 89 200 50 100
"glasso" 1 "TP" 9 200 50 100
"glasso" 1 "FP" 6 200 50 100
"glasso" 1 "FN" 90 200 50 100
"glasso" 1 "TN" 4845 200 50 100
"glasso" 1 "Pre" 0.6 200 50 100
"glasso" 1 "TPR" 0.0909090909090909 200 50 100
"glasso" 1 "MCC" 0.22840310780256 200 50 100
"glasso" 1 "FDR" 0.4 200 50 100
"glasso" 1 "FPR" 0.00123685837971552 200 50 100
"glasso" 1 "F1" 0.157894736842105 200 50 100
"glasso" 1 "JI" 0.0857142857142857 200 50 100
"glasso" 1 "ED" 96 200 50 100
"glasso" 1 "TP" 20 200 50 100
"glasso" 1 "FP" 17 200 50 100
"glasso" 1 "FN" 79 200 50 100
"glasso" 1 "TN" 4834 200 50 100
"glasso" 1 "Pre" 0.540540540540541 200 50 100
"glasso" 1 "TPR" 0.202020202020202 200 50 100
"glasso" 1 "MCC" 0.32266659268245 200 50 100
"glasso" 1 "FDR" 0.459459459459459 200 50 100
"glasso" 1 "FPR" 0.00350443207586065 200 50 100
"glasso" 1 "F1" 0.294117647058824 200 50 100
"glasso" 1 "JI" 0.172413793103448 200 50 100
"glasso" 1 "ED" 96 200 50 100
"glasso" 1 "TP" 24 200 50 100
"glasso" 1 "FP" 28 200 50 100
"glasso" 1 "FN" 75 200 50 100
"glasso" 1 "TN" 4823 200 50 100
"glasso" 1 "Pre" 0.461538461538462 200 50 100
"glasso" 1 "TPR" 0.242424242424242 200 50 100
"glasso" 1 "MCC" 0.324962154793342 200 50 100
"glasso" 1 "FDR" 0.538461538461538 200 50 100
"glasso" 1 "FPR" 0.00577200577200577 200 50 100
"glasso" 1 "F1" 0.317880794701987 200 50 100
"glasso" 1 "JI" 0.188976377952756 200 50 100
"glasso" 1 "ED" 103 200 50 100
"glasso" 1 "TP" 11 200 50 100
"glasso" 1 "FP" 9 200 50 100
"glasso" 1 "FN" 88 200 50 100
"glasso" 1 "TN" 4842 200 50 100
"glasso" 1 "Pre" 0.55 200 50 100
"glasso" 1 "TPR" 0.111111111111111 200 50 100
"glasso" 1 "MCC" 0.241123407362997 200 50 100
"glasso" 1 "FDR" 0.45 200 50 100
"glasso" 1 "FPR" 0.00185528756957328 200 50 100
"glasso" 1 "F1" 0.184873949579832 200 50 100
"glasso" 1 "JI" 0.101851851851852 200 50 100
"glasso" 1 "ED" 97 200 50 100
"glasso" 1 "TP" 16 200 50 100
"glasso" 1 "FP" 8 200 50 100
"glasso" 1 "FN" 83 200 50 100
"glasso" 1 "TN" 4843 200 50 100
"glasso" 1 "Pre" 0.666666666666667 200 50 100
"glasso" 1 "TPR" 0.161616161616162 200 50 100
"glasso" 1 "MCC" 0.322411746846182 200 50 100
"glasso" 1 "FDR" 0.333333333333333 200 50 100
"glasso" 1 "FPR" 0.00164914450628736 200 50 100
"glasso" 1 "F1" 0.260162601626016 200 50 100
"glasso" 1 "JI" 0.149532710280374 200 50 100
"glasso" 1 "ED" 91 200 50 100
"glasso" 1 "TP" 9 200 50 100
"glasso" 1 "FP" 3 200 50 100
"glasso" 1 "FN" 90 200 50 100
"glasso" 1 "TN" 4848 200 50 100
"glasso" 1 "Pre" 0.75 200 50 100
"glasso" 1 "TPR" 0.0909090909090909 200 50 100
"glasso" 1 "MCC" 0.257045440476021 200 50 100
"glasso" 1 "FDR" 0.25 200 50 100
"glasso" 1 "FPR" 0.000618429189857761 200 50 100
"glasso" 1 "F1" 0.162162162162162 200 50 100
"glasso" 1 "JI" 0.0882352941176471 200 50 100
"glasso" 1 "ED" 93 200 50 100
"glasso" 1 "TP" 8 200 50 100
"glasso" 1 "FP" 0 200 50 100
"glasso" 1 "FN" 91 200 50 100
"glasso" 1 "TN" 4851 200 50 100
"glasso" 1 "Pre" 1 200 50 100
"glasso" 1 "TPR" 0.0808080808080808 200 50 100
"glasso" 1 "MCC" 0.281638266779299 200 50 100
"glasso" 1 "FDR" 0 200 50 100
"glasso" 1 "FPR" 0 200 50 100
"glasso" 1 "F1" 0.149532710280374 200 50 100
"glasso" 1 "JI" 0.0808080808080808 200 50 100
"glasso" 1 "ED" 91 200 50 100
