"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 84 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 15 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.976744186046512 200 10 100 0.5
"tvglasso" 1 "TPR" 0.848484848484849 200 10 100 0.5
"tvglasso" 1 "MCC" 0.908699394341356 200 10 100 0.5
"tvglasso" 1 "FDR" 0.0232558139534884 200 10 100 0.5
"tvglasso" 1 "FPR" 0.000412286126571841 200 10 100 0.5
"tvglasso" 1 "F1" 0.908108108108108 200 10 100 0.5
"tvglasso" 1 "JI" 0.831683168316832 200 10 100 0.5
"tvglasso" 1 "ED" 17 200 10 100 0.5
"tvglasso" 1 "TP" 84 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 15 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.976744186046512 200 10 100 0.5
"tvglasso" 1 "TPR" 0.848484848484849 200 10 100 0.5
"tvglasso" 1 "MCC" 0.908699394341356 200 10 100 0.5
"tvglasso" 1 "FDR" 0.0232558139534884 200 10 100 0.5
"tvglasso" 1 "FPR" 0.000412286126571841 200 10 100 0.5
"tvglasso" 1 "F1" 0.908108108108108 200 10 100 0.5
"tvglasso" 1 "JI" 0.831683168316832 200 10 100 0.5
"tvglasso" 1 "ED" 17 200 10 100 0.5
"tvglasso" 1 "TP" 84 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 15 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.976744186046512 200 10 100 0.5
"tvglasso" 1 "TPR" 0.848484848484849 200 10 100 0.5
"tvglasso" 1 "MCC" 0.908699394341356 200 10 100 0.5
"tvglasso" 1 "FDR" 0.0232558139534884 200 10 100 0.5
"tvglasso" 1 "FPR" 0.000412286126571841 200 10 100 0.5
"tvglasso" 1 "F1" 0.908108108108108 200 10 100 0.5
"tvglasso" 1 "JI" 0.831683168316832 200 10 100 0.5
"tvglasso" 1 "ED" 17 200 10 100 0.5
"tvglasso" 1 "TP" 86 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 13 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.977272727272727 200 10 100 0.5
"tvglasso" 1 "TPR" 0.868686868686869 200 10 100 0.5
"tvglasso" 1 "MCC" 0.919901885815736 200 10 100 0.5
"tvglasso" 1 "FDR" 0.0227272727272727 200 10 100 0.5
"tvglasso" 1 "FPR" 0.000412286126571841 200 10 100 0.5
"tvglasso" 1 "F1" 0.919786096256685 200 10 100 0.5
"tvglasso" 1 "JI" 0.851485148514851 200 10 100 0.5
"tvglasso" 1 "ED" 15 200 10 100 0.5
"tvglasso" 1 "TP" 86 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 13 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.977272727272727 200 10 100 0.5
"tvglasso" 1 "TPR" 0.868686868686869 200 10 100 0.5
"tvglasso" 1 "MCC" 0.919901885815736 200 10 100 0.5
"tvglasso" 1 "FDR" 0.0227272727272727 200 10 100 0.5
"tvglasso" 1 "FPR" 0.000412286126571841 200 10 100 0.5
"tvglasso" 1 "F1" 0.919786096256685 200 10 100 0.5
"tvglasso" 1 "JI" 0.851485148514851 200 10 100 0.5
"tvglasso" 1 "ED" 15 200 10 100 0.5
"tvglasso" 1 "TP" 86 200 10 100 0.5
"tvglasso" 1 "FP" 2 200 10 100 0.5
"tvglasso" 1 "FN" 13 200 10 100 0.5
"tvglasso" 1 "TN" 4849 200 10 100 0.5
"tvglasso" 1 "Pre" 0.977272727272727 200 10 100 0.5
"tvglasso" 1 "TPR" 0.868686868686869 200 10 100 0.5
