"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 4 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4847 200 10 100 1
"tvglasso" 1 "Pre" 0.96039603960396 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.969431998571871 200 10 100 1
"tvglasso" 1 "FDR" 0.0396039603960396 200 10 100 1
"tvglasso" 1 "FPR" 0.000824572253143682 200 10 100 1
"tvglasso" 1 "F1" 0.97 200 10 100 1
"tvglasso" 1 "JI" 0.941747572815534 200 10 100 1
"tvglasso" 1 "ED" 6 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.974371786695502 200 10 100 1
"tvglasso" 1 "FDR" 0.03 200 10 100 1
"tvglasso" 1 "FPR" 0.000618429189857761 200 10 100 1
"tvglasso" 1 "F1" 0.974874371859296 200 10 100 1
"tvglasso" 1 "JI" 0.950980392156863 200 10 100 1
"tvglasso" 1 "ED" 5 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 3 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4848 200 10 100 1
"tvglasso" 1 "Pre" 0.97 200 10 100 1
