"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 58 200 100 100 1
"tvglasso" 1 "TN" 4883 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.107692307692308 200 100 100 1
"tvglasso" 1 "MCC" 0.286675612621773 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000409416581371546 200 100 100 1
"tvglasso" 1 "F1" 0.189189189189189 200 100 100 1
"tvglasso" 1 "JI" 0.104477611940299 200 100 100 1
"tvglasso" 1 "ED" 60 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 55 200 100 100 1
"tvglasso" 1 "TN" 4886 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.112903225806452 200 100 100 1
"tvglasso" 1 "MCC" 0.293671874103265 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000409165302782324 200 100 100 1
"tvglasso" 1 "F1" 0.197183098591549 200 100 100 1
"tvglasso" 1 "JI" 0.109375 200 100 100 1
"tvglasso" 1 "ED" 57 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 55 200 100 100 1
"tvglasso" 1 "TN" 4886 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.112903225806452 200 100 100 1
"tvglasso" 1 "MCC" 0.293671874103265 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000409165302782324 200 100 100 1
"tvglasso" 1 "F1" 0.197183098591549 200 100 100 1
"tvglasso" 1 "JI" 0.109375 200 100 100 1
"tvglasso" 1 "ED" 57 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 52 200 100 100 1
"tvglasso" 1 "TN" 4889 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.11864406779661 200 100 100 1
"tvglasso" 1 "MCC" 0.301191544108041 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000408914332447352 200 100 100 1
"tvglasso" 1 "F1" 0.205882352941176 200 100 100 1
"tvglasso" 1 "JI" 0.114754098360656 200 100 100 1
"tvglasso" 1 "ED" 54 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 50 200 100 100 1
"tvglasso" 1 "TN" 4891 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.12280701754386 200 100 100 1
"tvglasso" 1 "MCC" 0.306529046842098 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.00040874718986307 200 100 100 1
"tvglasso" 1 "F1" 0.212121212121212 200 100 100 1
"tvglasso" 1 "JI" 0.11864406779661 200 100 100 1
"tvglasso" 1 "ED" 52 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 46 200 100 100 1
"tvglasso" 1 "TN" 4895 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.132075471698113 200 100 100 1
"tvglasso" 1 "MCC" 0.318091041500297 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000408413314274045 200 100 100 1
"tvglasso" 1 "F1" 0.225806451612903 200 100 100 1
"tvglasso" 1 "JI" 0.127272727272727 200 100 100 1
"tvglasso" 1 "ED" 48 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 43 200 100 100 1
"tvglasso" 1 "TN" 4898 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.14 200 100 100 1
"tvglasso" 1 "MCC" 0.327653176153877 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000408163265306122 200 100 100 1
"tvglasso" 1 "F1" 0.23728813559322 200 100 100 1
"tvglasso" 1 "JI" 0.134615384615385 200 100 100 1
"tvglasso" 1 "ED" 45 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 41 200 100 100 1
"tvglasso" 1 "TN" 4900 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.145833333333333 200 100 100 1
"tvglasso" 1 "MCC" 0.334517365753835 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000407996736026112 200 100 100 1
"tvglasso" 1 "F1" 0.245614035087719 200 100 100 1
