"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 68 200 50 100 1.5
"tvglasso" 1 "TN" 4870 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.128205128205128 200 50 100 1.5
"tvglasso" 1 "MCC" 0.323628934555721 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000410509031198686 200 50 100 1.5
"tvglasso" 1 "F1" 0.222222222222222 200 50 100 1.5
"tvglasso" 1 "JI" 0.125 200 50 100 1.5
"tvglasso" 1 "ED" 70 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 68 200 50 100 1.5
"tvglasso" 1 "TN" 4870 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.128205128205128 200 50 100 1.5
"tvglasso" 1 "MCC" 0.323628934555721 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000410509031198686 200 50 100 1.5
"tvglasso" 1 "F1" 0.222222222222222 200 50 100 1.5
"tvglasso" 1 "JI" 0.125 200 50 100 1.5
"tvglasso" 1 "ED" 70 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 67 200 50 100 1.5
"tvglasso" 1 "TN" 4871 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.12987012987013 200 50 100 1.5
"tvglasso" 1 "MCC" 0.325770696055703 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000410424789657295 200 50 100 1.5
"tvglasso" 1 "F1" 0.224719101123595 200 50 100 1.5
"tvglasso" 1 "JI" 0.126582278481013 200 50 100 1.5
"tvglasso" 1 "ED" 69 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 66 200 50 100 1.5
"tvglasso" 1 "TN" 4872 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.131578947368421 200 50 100 1.5
"tvglasso" 1 "MCC" 0.327954276489406 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000410340582683627 200 50 100 1.5
"tvglasso" 1 "F1" 0.227272727272727 200 50 100 1.5
"tvglasso" 1 "JI" 0.128205128205128 200 50 100 1.5
"tvglasso" 1 "ED" 68 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 65 200 50 100 1.5
"tvglasso" 1 "TN" 4873 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.133333333333333 200 50 100 1.5
"tvglasso" 1 "MCC" 0.330181063260657 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00041025641025641 200 50 100 1.5
"tvglasso" 1 "F1" 0.229885057471264 200 50 100 1.5
"tvglasso" 1 "JI" 0.12987012987013 200 50 100 1.5
"tvglasso" 1 "ED" 67 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 62 200 50 100 1.5
"tvglasso" 1 "TN" 4876 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.138888888888889 200 50 100 1.5
"tvglasso" 1 "MCC" 0.337135540443985 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000410004100041 200 50 100 1.5
"tvglasso" 1 "F1" 0.238095238095238 200 50 100 1.5
"tvglasso" 1 "JI" 0.135135135135135 200 50 100 1.5
"tvglasso" 1 "ED" 64 200 50 100 1.5
"tvglasso" 1 "TP" 10 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 59 200 50 100 1.5
"tvglasso" 1 "TN" 4879 200 50 100 1.5
"tvglasso" 1 "Pre" 0.833333333333333 200 50 100 1.5
"tvglasso" 1 "TPR" 0.144927536231884 200 50 100 1.5
"tvglasso" 1 "MCC" 0.344535579557475 200 50 100 1.5
"tvglasso" 1 "FDR" 0.166666666666667 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000409752099979512 200 50 100 1.5
"tvglasso" 1 "F1" 0.246913580246914 200 50 100 1.5
"tvglasso" 1 "JI" 0.140845070422535 200 50 100 1.5
"tvglasso" 1 "ED" 61 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 61 200 50 100 1.5
"tvglasso" 1 "TN" 4878 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.128571428571429 200 50 100 1.5
"tvglasso" 1 "MCC" 0.321366772055345 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040983606557377 200 50 100 1.5
"tvglasso" 1 "F1" 0.222222222222222 200 50 100 1.5
"tvglasso" 1 "JI" 0.125 200 50 100 1.5
"tvglasso" 1 "ED" 63 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 57 200 50 100 1.5
"tvglasso" 1 "TN" 4882 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.136363636363636 200 50 100 1.5
"tvglasso" 1 "MCC" 0.331158848530991 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040950040950041 200 50 100 1.5
"tvglasso" 1 "F1" 0.233766233766234 200 50 100 1.5
"tvglasso" 1 "JI" 0.132352941176471 200 50 100 1.5
"tvglasso" 1 "ED" 59 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 57 200 50 100 1.5
"tvglasso" 1 "TN" 4882 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.136363636363636 200 50 100 1.5
"tvglasso" 1 "MCC" 0.331158848530991 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040950040950041 200 50 100 1.5
"tvglasso" 1 "F1" 0.233766233766234 200 50 100 1.5
"tvglasso" 1 "JI" 0.132352941176471 200 50 100 1.5
"tvglasso" 1 "ED" 59 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 56 200 50 100 1.5
"tvglasso" 1 "TN" 4883 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.138461538461538 200 50 100 1.5
"tvglasso" 1 "MCC" 0.333746094959145 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000409416581371546 200 50 100 1.5
"tvglasso" 1 "F1" 0.236842105263158 200 50 100 1.5
"tvglasso" 1 "JI" 0.134328358208955 200 50 100 1.5
"tvglasso" 1 "ED" 58 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 55 200 50 100 1.5
"tvglasso" 1 "TN" 4884 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.140625 200 50 100 1.5
"tvglasso" 1 "MCC" 0.336393352867701 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000409332787556283 200 50 100 1.5
"tvglasso" 1 "F1" 0.24 200 50 100 1.5
"tvglasso" 1 "JI" 0.136363636363636 200 50 100 1.5
"tvglasso" 1 "ED" 57 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 55 200 50 100 1.5
"tvglasso" 1 "TN" 4884 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.140625 200 50 100 1.5
"tvglasso" 1 "MCC" 0.336393352867701 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000409332787556283 200 50 100 1.5
"tvglasso" 1 "F1" 0.24 200 50 100 1.5
"tvglasso" 1 "JI" 0.136363636363636 200 50 100 1.5
"tvglasso" 1 "ED" 57 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 54 200 50 100 1.5
"tvglasso" 1 "TN" 4885 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.142857142857143 200 50 100 1.5
"tvglasso" 1 "MCC" 0.339102991393993 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000409249028033558 200 50 100 1.5
"tvglasso" 1 "F1" 0.243243243243243 200 50 100 1.5
"tvglasso" 1 "JI" 0.138461538461538 200 50 100 1.5
"tvglasso" 1 "ED" 56 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 52 200 50 100 1.5
"tvglasso" 1 "TN" 4887 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.147540983606557 200 50 100 1.5
"tvglasso" 1 "MCC" 0.34471956232062 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040908161178155 200 50 100 1.5
"tvglasso" 1 "F1" 0.25 200 50 100 1.5
"tvglasso" 1 "JI" 0.142857142857143 200 50 100 1.5
"tvglasso" 1 "ED" 54 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 50 200 50 100 1.5
"tvglasso" 1 "TN" 4889 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.152542372881356 200 50 100 1.5
"tvglasso" 1 "MCC" 0.350617605978837 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.000408914332447352 200 50 100 1.5
"tvglasso" 1 "F1" 0.257142857142857 200 50 100 1.5
"tvglasso" 1 "JI" 0.147540983606557 200 50 100 1.5
"tvglasso" 1 "ED" 52 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 48 200 50 100 1.5
"tvglasso" 1 "TN" 4891 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.157894736842105 200 50 100 1.5
"tvglasso" 1 "MCC" 0.356821573460433 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040874718986307 200 50 100 1.5
"tvglasso" 1 "F1" 0.264705882352941 200 50 100 1.5
"tvglasso" 1 "JI" 0.152542372881356 200 50 100 1.5
"tvglasso" 1 "ED" 50 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 48 200 50 100 1.5
"tvglasso" 1 "TN" 4891 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
"tvglasso" 1 "TPR" 0.157894736842105 200 50 100 1.5
"tvglasso" 1 "MCC" 0.356821573460433 200 50 100 1.5
"tvglasso" 1 "FDR" 0.181818181818182 200 50 100 1.5
"tvglasso" 1 "FPR" 0.00040874718986307 200 50 100 1.5
"tvglasso" 1 "F1" 0.264705882352941 200 50 100 1.5
"tvglasso" 1 "JI" 0.152542372881356 200 50 100 1.5
"tvglasso" 1 "ED" 50 200 50 100 1.5
"tvglasso" 1 "TP" 9 200 50 100 1.5
"tvglasso" 1 "FP" 2 200 50 100 1.5
"tvglasso" 1 "FN" 48 200 50 100 1.5
"tvglasso" 1 "TN" 4891 200 50 100 1.5
"tvglasso" 1 "Pre" 0.818181818181818 200 50 100 1.5
