"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 27 200 50 100
"glasso" 1 "FP" 25 200 50 100
"glasso" 1 "FN" 101 200 50 100
"glasso" 1 "TN" 4847 200 50 100
"glasso" 1 "Pre" 0.519230769230769 200 50 100
"glasso" 1 "TPR" 0.2109375 200 50 100
"glasso" 1 "MCC" 0.320405843866466 200 50 100
"glasso" 1 "FDR" 0.480769230769231 200 50 100
"glasso" 1 "FPR" 0.00513136288998358 200 50 100
"glasso" 1 "F1" 0.3 200 50 100
"glasso" 1 "TP" 22 200 50 100
"glasso" 1 "FP" 12 200 50 100
"glasso" 1 "FN" 106 200 50 100
"glasso" 1 "TN" 4860 200 50 100
"glasso" 1 "Pre" 0.647058823529412 200 50 100
"glasso" 1 "TPR" 0.171875 200 50 100
"glasso" 1 "MCC" 0.325581589563356 200 50 100
"glasso" 1 "FDR" 0.352941176470588 200 50 100
"glasso" 1 "FPR" 0.00246305418719212 200 50 100
"glasso" 1 "F1" 0.271604938271605 200 50 100
"glasso" 1 "TP" 31 200 50 100
"glasso" 1 "FP" 33 200 50 100
"glasso" 1 "FN" 96 200 50 100
"glasso" 1 "TN" 4840 200 50 100
"glasso" 1 "Pre" 0.484375 200 50 100
"glasso" 1 "TPR" 0.244094488188976 200 50 100
"glasso" 1 "MCC" 0.332170744706498 200 50 100
"glasso" 1 "FDR" 0.515625 200 50 100
"glasso" 1 "FPR" 0.00677200902934537 200 50 100
"glasso" 1 "F1" 0.324607329842932 200 50 100
"glasso" 1 "TP" 23 200 50 100
"glasso" 1 "FP" 23 200 50 100
"glasso" 1 "FN" 103 200 50 100
"glasso" 1 "TN" 4851 200 50 100
"glasso" 1 "Pre" 0.5 200 50 100
"glasso" 1 "TPR" 0.182539682539683 200 50 100
"glasso" 1 "MCC" 0.291913106295765 200 50 100
"glasso" 1 "FDR" 0.5 200 50 100
"glasso" 1 "FPR" 0.00471891670086172 200 50 100
"glasso" 1 "F1" 0.267441860465116 200 50 100
"glasso" 1 "TP" 20 200 50 100
"glasso" 1 "FP" 17 200 50 100
"glasso" 1 "FN" 105 200 50 100
"glasso" 1 "TN" 4858 200 50 100
"glasso" 1 "Pre" 0.540540540540541 200 50 100
"glasso" 1 "TPR" 0.16 200 50 100
"glasso" 1 "MCC" 0.285114454128789 200 50 100
"glasso" 1 "FDR" 0.459459459459459 200 50 100
"glasso" 1 "FPR" 0.00348717948717949 200 50 100
"glasso" 1 "F1" 0.246913580246914 200 50 100
"glasso" 1 "TP" 21 200 50 100
"glasso" 1 "FP" 15 200 50 100
"glasso" 1 "FN" 101 200 50 100
"glasso" 1 "TN" 4863 200 50 100
"glasso" 1 "Pre" 0.583333333333333 200 50 100
"glasso" 1 "TPR" 0.172131147540984 200 50 100
"glasso" 1 "MCC" 0.308506675346061 200 50 100
"glasso" 1 "FDR" 0.416666666666667 200 50 100
"glasso" 1 "FPR" 0.0030750307503075 200 50 100
"glasso" 1 "F1" 0.265822784810127 200 50 100
"glasso" 1 "TP" 19 200 50 100
"glasso" 1 "FP" 14 200 50 100
"glasso" 1 "FN" 100 200 50 100
"glasso" 1 "TN" 4867 200 50 100
"glasso" 1 "Pre" 0.575757575757576 200 50 100
"glasso" 1 "TPR" 0.159663865546218 200 50 100
"glasso" 1 "MCC" 0.295160140413023 200 50 100
"glasso" 1 "FDR" 0.424242424242424 200 50 100
"glasso" 1 "FPR" 0.00286826469985659 200 50 100
"glasso" 1 "F1" 0.25 200 50 100
"glasso" 1 "TP" 24 200 50 100
"glasso" 1 "FP" 29 200 50 100
"glasso" 1 "FN" 96 200 50 100
"glasso" 1 "TN" 4851 200 50 100
"glasso" 1 "Pre" 0.452830188679245 200 50 100
"glasso" 1 "TPR" 0.2 200 50 100
"glasso" 1 "MCC" 0.290015894977498 200 50 100
"glasso" 1 "FDR" 0.547169811320755 200 50 100
"glasso" 1 "FPR" 0.00594262295081967 200 50 100
"glasso" 1 "F1" 0.277456647398844 200 50 100
"glasso" 1 "TP" 17 200 50 100
"glasso" 1 "FP" 19 200 50 100
"glasso" 1 "FN" 99 200 50 100
"glasso" 1 "TN" 4865 200 50 100
"glasso" 1 "Pre" 0.472222222222222 200 50 100
"glasso" 1 "TPR" 0.146551724137931 200 50 100
"glasso" 1 "MCC" 0.254013255720028 200 50 100
"glasso" 1 "FDR" 0.527777777777778 200 50 100
"glasso" 1 "FPR" 0.00389025389025389 200 50 100
"glasso" 1 "F1" 0.223684210526316 200 50 100
"glasso" 1 "TP" 15 200 50 100
"glasso" 1 "FP" 12 200 50 100
"glasso" 1 "FN" 101 200 50 100
"glasso" 1 "TN" 4872 200 50 100
"glasso" 1 "Pre" 0.555555555555556 200 50 100
"glasso" 1 "TPR" 0.129310344827586 200 50 100
"glasso" 1 "MCC" 0.260571927286761 200 50 100
"glasso" 1 "FDR" 0.444444444444444 200 50 100
"glasso" 1 "FPR" 0.00245700245700246 200 50 100
"glasso" 1 "F1" 0.20979020979021 200 50 100
"glasso" 1 "TP" 18 200 50 100
"glasso" 1 "FP" 19 200 50 100
"glasso" 1 "FN" 97 200 50 100
"glasso" 1 "TN" 4866 200 50 100
"glasso" 1 "Pre" 0.486486486486487 200 50 100
"glasso" 1 "TPR" 0.156521739130435 200 50 100
"glasso" 1 "MCC" 0.266965167940018 200 50 100
"glasso" 1 "FDR" 0.513513513513513 200 50 100
"glasso" 1 "FPR" 0.00388945752302968 200 50 100
"glasso" 1 "F1" 0.236842105263158 200 50 100
"glasso" 1 "TP" 18 200 50 100
"glasso" 1 "FP" 20 200 50 100
"glasso" 1 "FN" 96 200 50 100
"glasso" 1 "TN" 4866 200 50 100
"glasso" 1 "Pre" 0.473684210526316 200 50 100
"glasso" 1 "TPR" 0.157894736842105 200 50 100
"glasso" 1 "MCC" 0.264343899796549 200 50 100
"glasso" 1 "FDR" 0.526315789473684 200 50 100
"glasso" 1 "FPR" 0.00409332787556283 200 50 100
"glasso" 1 "F1" 0.236842105263158 200 50 100
"glasso" 1 "TP" 24 200 50 100
"glasso" 1 "FP" 29 200 50 100
"glasso" 1 "FN" 90 200 50 100
"glasso" 1 "TN" 4857 200 50 100
"glasso" 1 "Pre" 0.452830188679245 200 50 100
"glasso" 1 "TPR" 0.210526315789474 200 50 100
"glasso" 1 "MCC" 0.298199404374658 200 50 100
"glasso" 1 "FDR" 0.547169811320755 200 50 100
"glasso" 1 "FPR" 0.00593532541956611 200 50 100
"glasso" 1 "F1" 0.287425149700599 200 50 100
"glasso" 1 "TP" 16 200 50 100
"glasso" 1 "FP" 9 200 50 100
