"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 49 200 10 100
"glasso" 1 "FP" 1179 200 10 100
"glasso" 1 "FN" 42 200 10 100
"glasso" 1 "TN" 3680 200 10 100
"glasso" 1 "Pre" 0.0399022801302932 200 10 100
"glasso" 1 "TPR" 0.538461538461538 200 10 100
"glasso" 1 "MCC" 0.0920095424519752 200 10 100
"glasso" 1 "FDR" 0.960097719869707 200 10 100
"glasso" 1 "FPR" 0.242642519036839 200 10 100
"glasso" 1 "F1" 0.0742987111448067 200 10 100
"glasso" 1 "JI" 0.0385826771653543 200 10 100
"glasso" 1 "ED" 1221 200 10 100
"glasso" 1 "TP" 48 200 10 100
"glasso" 1 "FP" 1168 200 10 100
"glasso" 1 "FN" 39 200 10 100
"glasso" 1 "TN" 3695 200 10 100
"glasso" 1 "Pre" 0.0394736842105263 200 10 100
"glasso" 1 "TPR" 0.551724137931034 200 10 100
"glasso" 1 "MCC" 0.0950990251181141 200 10 100
"glasso" 1 "FDR" 0.960526315789474 200 10 100
"glasso" 1 "FPR" 0.24018095825622 200 10 100
"glasso" 1 "F1" 0.0736761320030698 200 10 100
"glasso" 1 "JI" 0.0382470119521912 200 10 100
"glasso" 1 "ED" 1207 200 10 100
"glasso" 1 "TP" 38 200 10 100
"glasso" 1 "FP" 1191 200 10 100
"glasso" 1 "FN" 46 200 10 100
"glasso" 1 "TN" 3675 200 10 100
"glasso" 1 "Pre" 0.0309194467046379 200 10 100
"glasso" 1 "TPR" 0.452380952380952 200 10 100
"glasso" 1 "MCC" 0.0620714693764396 200 10 100
"glasso" 1 "FDR" 0.969080553295362 200 10 100
"glasso" 1 "FPR" 0.244759556103576 200 10 100
"glasso" 1 "F1" 0.0578827113480579 200 10 100
"glasso" 1 "JI" 0.0298039215686275 200 10 100
"glasso" 1 "ED" 1237 200 10 100
"glasso" 1 "TP" 40 200 10 100
"glasso" 1 "FP" 1183 200 10 100
"glasso" 1 "FN" 40 200 10 100
"glasso" 1 "TN" 3687 200 10 100
"glasso" 1 "Pre" 0.0327064595257563 200 10 100
"glasso" 1 "TPR" 0.5 200 10 100
"glasso" 1 "MCC" 0.0751608904868494 200 10 100
"glasso" 1 "FDR" 0.967293540474244 200 10 100
"glasso" 1 "FPR" 0.242915811088296 200 10 100
"glasso" 1 "F1" 0.0613967766692249 200 10 100
"glasso" 1 "JI" 0.0316706254948535 200 10 100
"glasso" 1 "ED" 1223 200 10 100
"glasso" 1 "TP" 34 200 10 100
"glasso" 1 "FP" 1184 200 10 100
"glasso" 1 "FN" 43 200 10 100
"glasso" 1 "TN" 3689 200 10 100
"glasso" 1 "Pre" 0.0279146141215107 200 10 100
"glasso" 1 "TPR" 0.441558441558442 200 10 100
"glasso" 1 "MCC" 0.0570558063528558 200 10 100
"glasso" 1 "FDR" 0.972085385878489 200 10 100
"glasso" 1 "FPR" 0.242971475477119 200 10 100
"glasso" 1 "F1" 0.0525096525096525 200 10 100
"glasso" 1 "JI" 0.0269627279936558 200 10 100
"glasso" 1 "ED" 1227 200 10 100
"glasso" 1 "TP" 35 200 10 100
"glasso" 1 "FP" 1187 200 10 100
"glasso" 1 "FN" 41 200 10 100
"glasso" 1 "TN" 3687 200 10 100
"glasso" 1 "Pre" 0.0286415711947627 200 10 100
"glasso" 1 "TPR" 0.460526315789474 200 10 100
"glasso" 1 "MCC" 0.0618748390615566 200 10 100
"glasso" 1 "FDR" 0.971358428805237 200 10 100
"glasso" 1 "FPR" 0.243537135822733 200 10 100
"glasso" 1 "F1" 0.0539291217257319 200 10 100
"glasso" 1 "JI" 0.0277117973079968 200 10 100
"glasso" 1 "ED" 1228 200 10 100
"glasso" 1 "TP" 30 200 10 100
"glasso" 1 "FP" 1177 200 10 100
"glasso" 1 "FN" 41 200 10 100
"glasso" 1 "TN" 3702 200 10 100
"glasso" 1 "Pre" 0.0248550124275062 200 10 100
"glasso" 1 "TPR" 0.422535211267606 200 10 100
"glasso" 1 "MCC" 0.0502021431525629 200 10 100
"glasso" 1 "FDR" 0.975144987572494 200 10 100
"glasso" 1 "FPR" 0.241237958598073 200 10 100
"glasso" 1 "F1" 0.0469483568075117 200 10 100
"glasso" 1 "JI" 0.0240384615384615 200 10 100
"glasso" 1 "ED" 1218 200 10 100
"glasso" 1 "TP" 38 200 10 100
"glasso" 1 "FP" 1192 200 10 100
"glasso" 1 "FN" 31 200 10 100
"glasso" 1 "TN" 3689 200 10 100
"glasso" 1 "Pre" 0.0308943089430894 200 10 100
"glasso" 1 "TPR" 0.550724637681159 200 10 100
"glasso" 1 "MCC" 0.0831577925797737 200 10 100
"glasso" 1 "FDR" 0.969105691056911 200 10 100
"glasso" 1 "FPR" 0.244212251587789 200 10 100
"glasso" 1 "F1" 0.0585065434949961 200 10 100
"glasso" 1 "JI" 0.0301348136399683 200 10 100
"glasso" 1 "ED" 1223 200 10 100
"glasso" 1 "TP" 32 200 10 100
"glasso" 1 "FP" 1205 200 10 100
"glasso" 1 "FN" 35 200 10 100
"glasso" 1 "TN" 3678 200 10 100
"glasso" 1 "Pre" 0.0258690379951496 200 10 100
"glasso" 1 "TPR" 0.477611940298507 200 10 100
"glasso" 1 "MCC" 0.06160835942158 200 10 100
"glasso" 1 "FDR" 0.97413096200485 200 10 100
"glasso" 1 "FPR" 0.246774523858284 200 10 100
"glasso" 1 "F1" 0.049079754601227 200 10 100
"glasso" 1 "JI" 0.0251572327044025 200 10 100
"glasso" 1 "ED" 1240 200 10 100
"glasso" 1 "TP" 19 200 10 100
"glasso" 1 "FP" 1167 200 10 100
"glasso" 1 "FN" 44 200 10 100
"glasso" 1 "TN" 3720 200 10 100
"glasso" 1 "Pre" 0.0160202360876897 200 10 100
"glasso" 1 "TPR" 0.301587301587302 200 10 100
"glasso" 1 "MCC" 0.0164899063933508 200 10 100
"glasso" 1 "FDR" 0.98397976391231 200 10 100
"glasso" 1 "FPR" 0.238796807857581 200 10 100
"glasso" 1 "F1" 0.0304243394715773 200 10 100
"glasso" 1 "JI" 0.0154471544715447 200 10 100
"glasso" 1 "ED" 1211 200 10 100
"glasso" 1 "TP" 18 200 10 100
"glasso" 1 "FP" 1239 200 10 100
"glasso" 1 "FN" 40 200 10 100
"glasso" 1 "TN" 3653 200 10 100
"glasso" 1 "Pre" 0.0143198090692124 200 10 100
"glasso" 1 "TPR" 0.310344827586207 200 10 100
"glasso" 1 "MCC" 0.0141104096187564 200 10 100
"glasso" 1 "FDR" 0.985680190930788 200 10 100
"glasso" 1 "FPR" 0.253270645952576 200 10 100
"glasso" 1 "F1" 0.0273764258555133 200 10 100
"glasso" 1 "JI" 0.0138781804163454 200 10 100
"glasso" 1 "ED" 1279 200 10 100
"glasso" 1 "TP" 23 200 10 100
"glasso" 1 "FP" 1234 200 10 100
"glasso" 1 "FN" 33 200 10 100
"glasso" 1 "TN" 3660 200 10 100
"glasso" 1 "Pre" 0.0182975338106603 200 10 100
"glasso" 1 "TPR" 0.410714285714286 200 10 100
"glasso" 1 "MCC" 0.0385288855234295 200 10 100
"glasso" 1 "FDR" 0.98170246618934 200 10 100
"glasso" 1 "FPR" 0.252145484266449 200 10 100
"glasso" 1 "F1" 0.035034272658035 200 10 100
"glasso" 1 "JI" 0.0178294573643411 200 10 100
"glasso" 1 "ED" 1267 200 10 100
"glasso" 1 "TP" 25 200 10 100
"glasso" 1 "FP" 1211 200 10 100
"glasso" 1 "FN" 30 200 10 100
"glasso" 1 "TN" 3684 200 10 100
"glasso" 1 "Pre" 0.0202265372168285 200 10 100
"glasso" 1 "TPR" 0.454545454545455 200 10 100
"glasso" 1 "MCC" 0.0501663803553421 200 10 100
"glasso" 1 "FDR" 0.979773462783172 200 10 100
"glasso" 1 "FPR" 0.247395301327886 200 10 100
"glasso" 1 "F1" 0.0387296669248644 200 10 100
"glasso" 1 "JI" 0.0197472353870458 200 10 100
"glasso" 1 "ED" 1241 200 10 100
"glasso" 1 "TP" 18 200 10 100
"glasso" 1 "FP" 1184 200 10 100
"glasso" 1 "FN" 35 200 10 100
"glasso" 1 "TN" 3713 200 10 100
"glasso" 1 "Pre" 0.0149750415973378 200 10 100
"glasso" 1 "TPR" 0.339622641509434 200 10 100
"glasso" 1 "MCC" 0.0234842180160407 200 10 100
"glasso" 1 "FDR" 0.985024958402662 200 10 100
"glasso" 1 "FPR" 0.241780682050235 200 10 100
"glasso" 1 "F1" 0.0286852589641434 200 10 100
"glasso" 1 "JI" 0.0145513338722716 200 10 100
"glasso" 1 "ED" 1219 200 10 100
"glasso" 1 "TP" 25 200 10 100
"glasso" 1 "FP" 1207 200 10 100
"glasso" 1 "FN" 25 200 10 100
"glasso" 1 "TN" 3693 200 10 100
"glasso" 1 "Pre" 0.0202922077922078 200 10 100
"glasso" 1 "TPR" 0.5 200 10 100
"glasso" 1 "MCC" 0.0586675624313773 200 10 100
"glasso" 1 "FDR" 0.979707792207792 200 10 100
"glasso" 1 "FPR" 0.246326530612245 200 10 100
"glasso" 1 "F1" 0.0390015600624025 200 10 100
"glasso" 1 "JI" 0.0198886237072395 200 10 100
"glasso" 1 "ED" 1232 200 10 100
"glasso" 1 "TP" 22 200 10 100
"glasso" 1 "FP" 1206 200 10 100
"glasso" 1 "FN" 27 200 10 100
"glasso" 1 "TN" 3695 200 10 100
"glasso" 1 "Pre" 0.0179153094462541 200 10 100
"glasso" 1 "TPR" 0.448979591836735 200 10 100
"glasso" 1 "MCC" 0.0465104806274154 200 10 100
"glasso" 1 "FDR" 0.982084690553746 200 10 100
"glasso" 1 "FPR" 0.246072230157111 200 10 100
"glasso" 1 "F1" 0.0344557556773688 200 10 100
"glasso" 1 "JI" 0.0175298804780877 200 10 100
